@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute CANADA_10_YEAR_Now numeric
@attribute CANADA_10_YEAR_Open numeric
@attribute CANADA_10_YEAR_High numeric
@attribute CANADA_10_YEAR_Low numeric
@attribute EUR_USD_Now numeric
@attribute AEX_Now numeric
@attribute AEX_High numeric
@attribute AEX_Low numeric
@attribute FTSE_Now_x numeric
@attribute FTSE_High_x numeric
@attribute FTSE_Low_x numeric
@attribute IDR_KRW_Now numeric
@attribute CNY_KRW_Now numeric
@attribute CNY_KRW_Low numeric
@attribute Brazil_Now numeric
@attribute Brazil_High numeric
@attribute Brazil_Low numeric
@attribute DAX_Now numeric
@attribute DAX_High numeric
@attribute DAX_Low numeric
@attribute RTSI_Now numeric
@attribute MOEX_Now numeric
@attribute Nifty_Now numeric
@attribute S&P_Now numeric
@attribute S&P_High numeric
@attribute S&P_Low numeric
@attribute Copper_Now numeric
@attribute Copper_High numeric
@attribute Copper_Low numeric
@attribute NASDAQ_Now numeric
@attribute NASDAQ_Open numeric
@attribute NASDAQ_High numeric
@attribute NASDAQ_Low numeric
@attribute HKD_KRW_Now numeric
@attribute HKD_KRW_High numeric
@attribute HKD_KRW_Low numeric
@attribute FRANCE_10_YEAR_Now numeric
@attribute FRANCE_10_YEAR_Open numeric
@attribute FRANCE_10_YEAR_High numeric
@attribute FRANCE_10_YEAR_Low numeric
@attribute US_10_YEAR_Now numeric
@attribute US_10_YEAR_Open numeric
@attribute US_10_YEAR_High numeric
@attribute US_10_YEAR_Low numeric
@attribute CHF_KRW_Now numeric
@attribute CHF_KRW_Low numeric
@attribute USD_CAD_Now numeric
@attribute USD_CAD_High numeric
@attribute USD_CAD_Low numeric
@attribute GERMANY_10_YEAR_Now numeric
@attribute GERMANY_10_YEAR_Open numeric
@attribute GERMANY_10_YEAR_High numeric
@attribute GERMANY_10_YEAR_Low numeric
@attribute iBovespa_Now numeric
@attribute iBovespa_High numeric
@attribute iBovespa_Low numeric
@attribute S&P_BMV_Now numeric
@attribute S&P_BMV_High numeric
@attribute S&P_BMV_Low numeric
@attribute SMI_Now numeric
@attribute SMI_High numeric
@attribute SMI_Low numeric
@attribute DOWJONES_Now numeric
@attribute DOWJONES_High numeric
@attribute DOWJONES_Low numeric
@attribute US_COFFEE_Now numeric
@attribute OMXS_Now numeric
@attribute OMXS_High numeric
@attribute OMXS_Low numeric
@attribute AUD_SGD_Now numeric
@attribute AUD_SGD_Low numeric
@attribute Russell_Now numeric
@attribute Russell_Open numeric
@attribute Russell_High numeric
@attribute Russell_Low numeric
@attribute BRL_KRW_Now numeric
@attribute IBEX_Now numeric
@attribute IBEX_High numeric
@attribute IBEX_Low numeric
@attribute GBP_USD_Now numeric
@attribute FTSE_Now_y numeric
@attribute FTSE_High_y numeric
@attribute FTSE_Low_y numeric
@attribute IDX_Now numeric
@attribute SPAIN_10_YEAR_Now numeric
@attribute SPAIN_10_YEAR_Open numeric
@attribute SPAIN_10_YEAR_High numeric
@attribute SPAIN_10_YEAR_Low numeric
@attribute NZD_USD_Now numeric
@attribute NZD_USD_Low numeric
@attribute USD_KRW_Now numeric
@attribute USD_KRW_High numeric
@attribute USD_KRW_Low numeric
@attribute TA_Now numeric
@attribute TA_High numeric
@attribute TA_Low numeric
@attribute S&P_TSX_Now numeric
@attribute S&P_TSX_Open numeric
@attribute S&P_TSX_High numeric
@attribute S&P_TSX_Low numeric
@attribute JPY_KRW_Now numeric
@attribute JPY_KRW_High numeric
@attribute JPY_KRW_Low numeric
@attribute USD_JPY_Now numeric
@attribute USD_JPY_Low numeric
@attribute Silver_Now numeric
@attribute Silver_Low numeric
@attribute BEL_Now numeric
@attribute BEL_High numeric
@attribute BEL_Low numeric

@data
2007-1-11, 9.52, 0.001, 0.001, 0.001, 0.001, -0.0063, -3.38, -3.77, -3.43, -35.4, -22.4, -48.4, -0.0535, -0.11, 0.4, 328.89, -665.26, -171.75, -47.81, -72.94, -75.62, -27.96, -2.1, -61.1, 2.74, 0.38, -0.1, 0.109, 0.117, 0.052000000000000005, 15.5, -9.22, 11.47, 4.34, -0.115, 0.315, 0.29, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, 0.028, -3.96, -3.32, -0.0008, -0.0003, 0.0023, 0.042, 0.042, 0.042, 0.042, 268.0, -910.0, -280.0, 102.76, -388.34, -227.6, -12.4, -46.03, -59.4, 25.56, -29.48, -24.84, 2.35, -10.04, -10.43, -14.07, -0.0065, -0.0037, 0.54, -1.32, 0.71, 4.45, -0.25, -195.4, -178.1, -222.5, -0.0076, -206.0, -186.0, -293.0, -70.51, 0.01, 0.01, 0.01, 0.01, -0.0049, -0.0029, -0.75, 2.55, 2.35, -13.37, -21.03, -15.91, -10.44, -35.54, -78.93, -0.21, -0.0227, -0.0147, -0.0213, 0.25, 0.46, -0.14800000000000002, 0.15, -20.28, -33.11, -25.02
2007-1-12, 23.06, 0.018000000000000002, 0.018000000000000002, 0.018000000000000002, 0.018000000000000002, -0.0041, 7.67, 6.12, 2.29, 69.4, 37.0, -11.8, -0.04, 0.34, 0.1, 334.65, 792.28, 673.82, 120.74, 102.77, 40.34, 29.94, 29.84, 91.95, 8.97, 11.13, 9.52, -0.003, 0.017, 0.093, 25.52, 30.85, 28.12, 35.49, 0.14, -0.17, 0.02, 0.011, 0.011, 0.011, 0.011, 0.049, 0.049, 0.049, 0.049, -0.33, -0.84, 0.0009, 0.0008, -0.006, 0.003, 0.003, 0.003, 0.003, 399.0, 850.0, 710.0, 362.1, 336.57, 450.82, 126.31, 113.51, 70.38, 72.82, 98.94, 100.71, -0.1, 26.99, 17.95, 4.15, 0.0142, 0.0008, 9.58, 3.72, 11.55, 6.36, 0.82, 212.7, 89.4, 39.5, 0.0143, 582.0, 388.0, 126.0, -6.53, 0.01, 0.01, 0.01, 0.01, 0.0049, 0.0005, 1.1, -1.3, 0.2, 4.38, 1.66, -3.0, 62.35, -6.24, 119.93, 40.58, -0.0429, -0.0247, -0.0471, 0.8, 0.36, 0.025, 0.025, 67.71, 65.31, 22.0
2007-1-15, 2.59, 0.037000000000000005, 0.037000000000000005, 0.037000000000000005, 0.037000000000000005, 0.0024, 2.68, 2.99, 5.96, 8.9, 14.5, 74.1, 0.01, 0.09, 0.22, 424.65, 60.51, 585.47, 17.87, 9.43, 88.36, -3.02, -8.2, 110.2, 6.91, 4.11, 7.74, -0.055, -0.05, -0.036000000000000004, 17.97, 16.83, 13.36, 18.15, 0.135, 0.275, 0.1, 0.006999999999999999, 0.006999999999999999, 0.006999999999999999, 0.006999999999999999, 0.044, 0.044, 0.044, 0.044, 1.58, -0.4, -0.0072, -0.0021, -0.0009, 0.01, 0.01, 0.01, 0.01, 486.0, 30.0, 690.0, 76.48, 44.59, 240.21, 44.9, 44.9, 82.59, 41.1, 29.96, 18.58, -0.35, -0.58, 3.88, 22.03, 0.0014, 0.0089, 5.81, 8.61, 3.27, 8.37, 2.15, 39.4, 44.9, 187.6, 0.0127, 169.0, 171.0, 521.0, -25.8, 0.036000000000000004, 0.036000000000000004, 0.036000000000000004, 0.036000000000000004, -0.0019, 0.0017, 1.1, 2.3, 1.3, 10.125, 10.23, 13.76, 158.91, 110.19, 108.84, 66.77, 0.0205, -0.0342, 0.002, -0.18, 0.66, 0.423, 0.423, 12.31, 18.86, 52.95
2007-1-16, -1.25, 0.029, 0.029, 0.029, 0.029, 0.0019, 2.54, 2.8, 5.57, 24.5, 32.1, 34.7, -0.0085, -0.14, -0.28, -175.8, 284.27, 349.33, 26.57, 41.13, 59.58, 52.62, 59.36, 25.95, 0.585, 1.35, 3.02, -0.014, -0.0225, -0.0345, -2.52, 11.42, 3.055, 6.19, -0.185, -0.355, -0.26, 0.038, 0.038, 0.038, 0.038, -0.13699999999999998, -0.13699999999999998, -0.13699999999999998, -0.13699999999999998, -1.73, 0.38, -0.0026, -0.0076, -0.0024, 0.034, 0.034, 0.034, 0.034, -252.0, 400.0, 450.0, 155.65, 148.77, 221.66, 68.84, 80.05, 80.74, 13.255, 11.095, 28.8, 0.675, 14.41, 11.72, 4.38, -0.0004, 0.0038, -1.39, 3.085, 2.515, 0.88, -1.04, 48.5, 82.0, 119.1, 0.0066, 196.0, 244.0, 230.0, 52.43, -0.008, -0.008, -0.008, -0.008, 0.006, 0.003, -1.55, -3.45, -2.45, 10.125, 10.23, 13.76, 76.55, 149.51, 73.47, 158.91, -0.0236, -0.0142, -0.0038, 0.16, -0.1, -0.129, -0.129, 8.22, 1.7, 13.53
2007-1-17, -10.23, 0.0, 0.0, 0.0, 0.0, -0.0017, -0.57, 0.61, -0.5, -47.8, -13.3, -32.6, 0.0095, -0.33, 0.0, -294.95, -557.12, -459.35, -14.92, 0.33, -14.32, 1.42, -9.52, 2.1, 0.585, 1.35, 3.02, -0.014, -0.0225, -0.0345, -2.52, 11.42, 3.055, 6.19, -0.43, -0.19, -0.17, -0.006999999999999999, -0.006999999999999999, -0.006999999999999999, -0.006999999999999999, 0.107, 0.107, 0.107, 0.107, -2.09, -1.94, 0.0098, 0.0072, -0.0011, -0.005, -0.005, -0.005, -0.005, -239.0, -700.0, -650.0, 0.3, 3.11, 20.54, -28.65, 2.23, 18.99, 13.255, 11.095, 28.8, 0.675, -3.24, 1.6, 9.23, -0.0035, -0.0029, -1.39, 3.085, 2.515, 0.88, -0.71, -61.1, 26.9, -97.3, -0.0041, -192.0, 8.0, -21.0, 23.82, -0.015, -0.015, -0.015, -0.015, 0.0001, 0.0029, -2.95, -1.25, -1.25, -0.92, 2.43, -0.66, -35.04, -6.48, -16.18, 0.78, -0.0367, -0.0238, -0.0337, 0.19, 0.16, -0.129, -0.129, -25.83, 0.67, -17.92
2007-1-18, 3.73, -0.002, -0.002, -0.002, -0.002, 0.0019, 0.45, -0.67, -1.78, -11.2, -39.4, -42.9, -0.019, 0.41, 0.06, 111.26, 14.36, -163.46, -15.12, -14.32, -32.45, -41.0, -30.55, -4.05, -1.28, 1.34, -0.05, -0.01, -0.032, -0.01, -18.36, -16.67, -12.0, -18.09, 0.13, -0.12, -0.01, -0.016, -0.016, -0.016, -0.016, 0.032, 0.032, 0.032, 0.032, 1.5, -0.14, -0.0037, -0.0007, 0.0074, -0.016, -0.016, -0.016, -0.016, 50.0, 20.0, -150.0, 78.17, 123.44, 48.38, 31.6, 3.92, -3.34, -5.44, -24.99, 61.05, -0.05, 5.27, 2.38, 1.87, 0.0053, 0.0, -2.71, -4.47, -5.73, -1.09, 1.61, -60.6, -74.4, -81.6, 0.0086, -366.0, -152.0, -485.0, 4.19, -0.014, -0.014, -0.014, -0.014, -0.004, -0.0054, 1.35, -0.15, 0.75, 0.73, 1.61, -5.66, 10.09, -2.48, -9.06, -28.22, 0.0115, -0.006999999999999999, -0.0064, 0.0, 0.12, 0.273, 0.273, -3.42, -18.14, -11.21
2007-1-19, -22.65, 0.025, 0.025, 0.025, 0.025, 0.0016, 0.27, 2.59, 1.77, 5.8, 30.2, 41.0, 0.0045, 0.05, 0.18, -257.56, 472.28, 154.63, -12.08, 5.67, -11.71, -3.35, -3.22, 32.6, -4.25, -2.31, -4.36, -0.078, -0.033, -0.035, -36.21, -12.56, -21.13, -37.72, -0.13, -0.06, -0.04, 0.015, 0.015, 0.015, 0.015, -0.036000000000000004, -0.036000000000000004, -0.036000000000000004, -0.036000000000000004, -0.16, -2.14, 0.0001, 0.0002, -0.0009, 0.0, 0.0, 0.0, 0.0, -258.0, 460.0, 470.0, -445.63, -16.01, -269.14, -5.25, 32.16, 10.76, -9.22, 60.88, -63.05, -1.85, -2.31, 0.85, -2.65, 0.0017, 0.0053, -10.56, -1.68, -5.38, -11.67, -0.82, -29.7, -24.7, -12.0, 0.0044, -38.0, -217.0, 42.0, 19.23, 0.019, 0.019, 0.019, 0.019, 0.0046, 0.0035, -0.2, -0.3, -0.3, -0.19, -1.56, 8.04, -89.73, 56.73, 44.78, -21.71, -0.0423, -0.0127, -0.0368, 0.64, 0.14, -0.205, -0.205, 2.53, 6.65, 0.61
2007-1-22, 2.85, -0.028, -0.028, -0.028, -0.028, 0.0012, 1.59, -1.45, -1.49, 26.9, -13.9, -26.5, 0.017, -0.14, -0.02, 949.72, 25.39, 70.3, 57.55, 16.57, -9.37, 5.65, 9.55, -18.9, 4.13, -1.39, 0.98, 0.025, 0.0, -0.009000000000000001, 8.1, -37.7, -22.01, -2.43, 0.01, 0.26, -0.07, -0.008, -0.008, -0.008, -0.008, 0.034, 0.034, 0.034, 0.034, -0.36, 0.67, -0.0012, -0.0017, -0.0014, 0.003, 0.003, 0.003, 0.003, 774.0, -230.0, -430.0, 100.51, -290.09, -173.36, 55.77, 3.95, -20.44, -2.4, -24.27, -25.4, -0.05, 6.98, 0.72, 2.45, 0.003, -0.0002, 6.95, -10.0, -2.74, -1.7, 1.3, 132.6, 14.8, -39.0, -0.0004, 412.0, 173.0, -32.0, 17.85, 0.009000000000000001, 0.009000000000000001, 0.009000000000000001, 0.009000000000000001, -0.0009, 0.0014, -0.3, 2.9, -0.2, 2.42, 1.46, 2.87, 78.31, -123.76, -44.34, 7.87, -0.0019, -0.0206, 0.0023, -0.01, 0.62, 0.237, 0.092, 5.34, -9.15, -17.15
2007-1-23, -0.32, 0.004, 0.004, 0.004, 0.004, -0.0018, -3.61, 1.81, -0.42, -18.8, 27.6, 37.8, 0.0485, 0.52, 0.04, 125.66, 451.84, 705.62, -59.86, 12.02, 30.81, 29.04, 37.56, 12.3, -7.55, -0.18, -4.79, 0.017, 0.006, 0.019, -20.24, 16.87, 0.87, -12.76, 0.595, 0.185, 0.09, 0.014, 0.014, 0.014, 0.014, -0.022, -0.022, -0.022, -0.022, 2.14, 2.51, 0.0104, 0.0082, 0.0016, 0.006, 0.006, 0.006, 0.006, 147.0, 670.0, 820.0, 218.87, 127.74, 102.62, -52.97, 26.95, 30.87, -88.37, -30.85, -72.82, -2.35, 0.78, 8.57, 9.85, -0.0022, 0.0033, -7.2, 6.83, -0.41, 0.66, 0.14, -38.2, 102.1, 169.7, 0.0023, -121.0, 147.0, 368.0, 21.85, -0.028, -0.028, -0.028, -0.028, 0.0029, 0.0008, 3.8, 0.7, 0.6, 2.42, 1.46, 2.87, -13.22, 140.65, 39.0, 58.65, 0.0116, -0.0006, 0.008, 0.31, 0.11, 0.08, 0.155, -15.72, 11.65, 22.49
2007-1-24, 19.97, -0.004, -0.004, -0.004, -0.004, 0.0077, -0.69, -4.73, -3.36, 9.2, -30.2, -26.6, -0.0075, -0.02, 0.46, 623.9, 363.58, 249.9, -8.38, -62.21, -54.53, 14.43, 9.53, -36.35, 5.04, -0.06, 1.26, 0.048, 0.069, 0.065, 0.34, -26.24, -7.63, 3.06, 0.02, 0.25, 0.57, -0.032, -0.032, -0.032, -0.032, 0.049, 0.049, 0.049, 0.049, 4.07, 2.0, -0.0018, 0.0015, 0.0073, -0.039, -0.039, -0.039, -0.039, 623.0, 350.0, 90.0, 377.75, 378.87, 377.16, 3.35, -34.49, -14.22, 56.64, -65.6, 78.28, -1.7, -6.22, -7.63, -8.28, 0.0038, -0.0005, 7.42, -7.37, 3.65, 0.99, 1.28, 8.9, -106.2, -47.0, 0.0057, 104.0, -101.0, -102.0, -8.83, 0.015, 0.015, 0.015, 0.015, 0.0027, 0.0039, 0.05, 1.15, 3.55, 1.84, 0.8, -2.8, 205.1, -13.81, 120.27, 9.59, -0.0047, 0.0117, 0.0084, 0.08, -0.11, 0.26, 0.33, -27.63, -31.73, -40.54
