@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute CANADA_10_YEAR_Now numeric
@attribute CANADA_10_YEAR_Open numeric
@attribute CANADA_10_YEAR_Low numeric
@attribute EUR_USD_Now numeric
@attribute EUR_USD_Open numeric
@attribute AEX_Open numeric
@attribute AEX_High numeric
@attribute FTSE_Now_x numeric
@attribute FTSE_High_x numeric
@attribute FTSE_Low_x numeric
@attribute IDR_KRW_Low numeric
@attribute CNY_KRW_Now numeric
@attribute CNY_KRW_High numeric
@attribute GAS_Now numeric
@attribute GAS_High numeric
@attribute GAS_Low numeric
@attribute Brazil_Now numeric
@attribute HONH_KONG_10_YEAR_Now numeric
@attribute HONH_KONG_10_YEAR_High numeric
@attribute HONH_KONG_10_YEAR_Low numeric
@attribute DAX_Now numeric
@attribute DAX_Open numeric
@attribute RTSI_High numeric
@attribute RTSI_Low numeric
@attribute MOEX_Now numeric
@attribute MOEX_Low numeric
@attribute UK_10_YEAR_Now numeric
@attribute Nifty_Open numeric
@attribute Nifty_High numeric
@attribute S&P_High numeric
@attribute S&P_Low numeric
@attribute Copper_Now numeric
@attribute Copper_Open numeric
@attribute SANGHAI_Now numeric
@attribute SANGHAI_Open numeric
@attribute SANGHAI_High numeric
@attribute EUR_KRW_Now numeric
@attribute EUR_KRW_Open numeric
@attribute EUR_KRW_Low numeric
@attribute NASDAQ_Now numeric
@attribute NASDAQ_Open numeric
@attribute NASDAQ_High numeric
@attribute NASDAQ_Low numeric
@attribute HKD_KRW_Open numeric
@attribute FRANCE_10_YEAR_Now numeric
@attribute FRANCE_10_YEAR_High numeric
@attribute US_10_YEAR_Now numeric
@attribute US_10_YEAR_Open numeric
@attribute US_10_YEAR_High numeric
@attribute US_10_YEAR_Low numeric
@attribute CHF_KRW_Open numeric
@attribute CHF_KRW_High numeric
@attribute CHF_KRW_Low numeric
@attribute USD_CAD_Open numeric
@attribute USD_CAD_High numeric
@attribute USD_CAD_Low numeric
@attribute GERMANY_10_YEAR_Now numeric
@attribute iBovespa_Open numeric
@attribute iBovespa_Low numeric
@attribute INR_KRW_High numeric
@attribute INR_KRW_Low numeric
@attribute WTI_Now numeric
@attribute WTI_High numeric
@attribute S&P_BMV_Open numeric
@attribute NIKKEI_Now numeric
@attribute NIKKEI_Open numeric
@attribute SOUTH_KOREA_10_YEAR_Open numeric
@attribute SOUTH_KOREA_10_YEAR_Low numeric
@attribute SMI_Now numeric
@attribute SMI_High numeric
@attribute DOWJONES_Now numeric
@attribute DOWJONES_Open numeric
@attribute US_COFFEE_Now numeric
@attribute US_COFFEE_Open numeric
@attribute US_COFFEE_Low numeric
@attribute OMXS_Open numeric
@attribute OMXS_High numeric
@attribute OMXS_Low numeric
@attribute AUD_KRW_Now numeric
@attribute AUD_KRW_Open numeric
@attribute EUR_GBP_Now numeric
@attribute EUR_GBP_High numeric
@attribute BRENT_OIL_Now numeric
@attribute BRENT_OIL_Low numeric
@attribute GBP_KRW_Open numeric
@attribute GBP_KRW_High numeric
@attribute AUD_SGD_Now numeric
@attribute AUD_SGD_Open numeric
@attribute AUD_SGD_Low numeric
@attribute Russell_Now numeric
@attribute Russell_Open numeric
@attribute Russell_Low numeric
@attribute BRL_KRW_Low numeric
@attribute Gold_Now numeric
@attribute Gold_High numeric
@attribute Gold_Low numeric
@attribute IBEX_Now numeric
@attribute IBEX_Low numeric
@attribute GBP_USD_Now numeric
@attribute GBP_USD_Open numeric
@attribute GBP_USD_Low numeric
@attribute Corn_Now numeric
@attribute Corn_High numeric
@attribute FTSE_Now_y numeric
@attribute FTSE_Low_y numeric
@attribute IDX_Now numeric
@attribute IDX_High numeric
@attribute IDX_Low numeric
@attribute SPAIN_10_YEAR_Now numeric
@attribute SPAIN_10_YEAR_Open numeric
@attribute SPAIN_10_YEAR_Low numeric
@attribute NZD_USD_Now numeric
@attribute NZD_USD_Open numeric
@attribute NZD_USD_High numeric
@attribute NZD_USD_Low numeric
@attribute CSE_Now numeric
@attribute CSE_Open numeric
@attribute CSE_High numeric
@attribute JAPAN_10_YEAR_Open numeric
@attribute JAPAN_10_YEAR_High numeric
@attribute CAD_KRW_High numeric
@attribute CAD_KRW_Low numeric
@attribute USD_KRW_Now numeric
@attribute USD_KRW_High numeric
@attribute TA_Now numeric
@attribute TA_Open numeric
@attribute S&P_TSX_Open numeric
@attribute S&P_TSX_High numeric
@attribute S&P_TSX_Low numeric
@attribute JPY_KRW_Now numeric
@attribute JPY_KRW_High numeric
@attribute JPY_KRW_Low numeric
@attribute Tadawul_Now numeric
@attribute Tadawul_Open numeric
@attribute Tadawul_High numeric
@attribute Tadawul_Low numeric
@attribute SET_High numeric
@attribute SET_Low numeric
@attribute HEATING_OIL_Now numeric
@attribute HEATING_OIL_High numeric
@attribute HEATING_OIL_Low numeric
@attribute ITALY_10_YEAR_Now numeric
@attribute ITALY_10_YEAR_Open numeric
@attribute ITALY_10_YEAR_High numeric
@attribute ITALY_10_YEAR_Low numeric
@attribute USD_JPY_Low numeric
@attribute Silver_Now numeric
@attribute Silver_Low numeric
@attribute US_WHEAT_Open numeric
@attribute US_WHEAT_High numeric
@attribute AUS_10_YEAR_High numeric
@attribute AUS_10_YEAR_Low numeric
@attribute BEL_Low numeric

@data
2010-01-04, 1696.14, 3.603, 3.603, 3.603, 1.4335, 1.4352, 336.21, 337.32, 5397.9, 5442.8, 5390.6, 12.29, 171.01, 171.75, 5.709, 5.928999999999999, 5.6720000000000015, 68588.41, 2.7760000000000002, 2.7760000000000002, 2.7760000000000002, 5957.43, 6002.29, 1444.91, 1426.12, 1362.01, 1356.54, 4.059, 5188.75, 5197.05, 1126.42, 1121.94, 3.325, 3.283, 3262.6, 3211.83, 3267.0, 1673.37, 1673.33, 1660.64, 2291.28, 2284.56, 2293.02, 2280.16, 150.35, 3.595, 3.595, 3.793, 3.793, 3.793, 3.793, 1124.29, 1129.31, 1115.68, 1.0439, 1.0581, 1.0426, 3.388, 68600.0, 68595.0, 25.2295, 24.8219, 79.28, 79.8, 32627.9, 10546.44, 10707.51, 5.41, 5.41, 6545.91, 6609.73, 10548.51, 10544.36, 136.65, 136.5, 136.0, 965.74, 968.24, 951.54, 1043.88, 1042.4, 0.8921, 0.9055, 78.03, 77.51, 1853.12, 1877.58, 1.2568, 1.2561, 1.2506, 633.41, 630.98, 627.56, 662.18, 1091.5, 1097.1, 1086.0, 11940.0, 11923.0, 1.6071, 1.5896, 1.5833, 413.75, 416.75, 23248.39, 23197.13, 2534.36, 2534.36, 2519.01, 3.978, 3.978, 3.978, 0.7232, 0.7168, 0.7238, 0.7146, 3385.55, 3356.64, 3390.31, 1.3019999999999998, 1.306, 1121.57, 1099.75, 1167.25, 1172.55, 1140.69, 1133.93, 11687.1, 11728.41, 11672.99, 12.6237, 12.746, 12.538, 6121.76, 6121.78, 6147.1, 6082.42, 742.31, 733.41, 2.1093, 2.125, 2.1025, 4.14, 4.14, 4.14, 4.14, 91.99, 16.779, 16.76, 540.75, 549.88, 5.778, 5.778, 2510.66
2010-01-05, 1690.62, 3.608, 3.608, 3.608, 1.4413, 1.4325, 336.96, 343.05, 5500.3, 5500.3, 5410.8, 12.130999999999998, 168.42, 170.51, 5.8839999999999995, 5.894, 5.705, 70045.08, 2.977, 2.977, 2.977, 6048.3, 5975.52, 1464.3916666666669, 1429.216666666667, 1375.805, 1358.8333333333333, 3.9730000000000003, 5200.9, 5238.45, 1133.87, 1116.56, 3.388, 3.358, 3243.76, 3289.75, 3295.28, 1657.55, 1665.87, 1644.96, 2308.42, 2294.41, 2311.15, 2294.41, 149.99, 3.609, 3.609, 3.823, 3.823, 3.823, 3.823, 1123.2, 1124.76, 1106.56, 1.052, 1.052, 1.0353, 3.39, 69450.0, 69450.0, 25.0634, 24.7438, 81.51, 81.79, 32120.74, 10654.79, 10609.34, 5.42, 5.42, 6631.44, 6631.44, 10583.96, 10430.69, 141.85, 136.0, 136.0, 951.72, 964.73, 951.72, 1050.58, 1045.42, 0.8953, 0.8969, 80.12, 78.34, 1880.45, 1882.29, 1.2752, 1.2596, 1.2542, 640.1, 628.11, 628.11, 661.26, 1117.7, 1122.3, 1097.1, 12145.1, 11986.1, 1.6097, 1.6127, 1.6059, 418.5, 426.25, 23545.02, 23317.12, 2575.41, 2576.06, 2532.9, 3.965, 3.965, 3.965, 0.7342, 0.7236, 0.7354, 0.7196, 3481.64, 3385.66, 3490.56, 1.3159999999999998, 1.33, 1113.66, 1096.96, 1150.0, 1164.07, 1163.11, 1162.89, 11847.34, 11872.15, 11746.11, 12.423, 12.5587, 12.3734, 6201.76, 6149.91, 6202.32, 6134.72, 737.14, 725.65, 2.1905, 2.1965, 2.13, 4.1160000000000005, 4.1160000000000005, 4.1160000000000005, 4.1160000000000005, 92.19, 17.44, 16.87, 540.75, 561.13, 5.843, 5.843, 2521.73
2010-01-06, 1705.32, 3.5639999999999996, 3.5639999999999996, 3.5639999999999996, 1.4369, 1.4409, 343.52, 343.59, 5522.5, 5536.4, 5480.7, 12.084, 166.87, 168.61, 5.6370000000000005, 5.858, 5.615, 70239.81, 2.8930000000000002, 2.8930000000000002, 2.8930000000000002, 6031.86, 6043.94, 1483.8733333333334, 1432.313333333333, 1389.6, 1361.1266666666666, 4.004, 5277.15, 5288.35, 1136.63, 1129.66, 3.3960000000000004, 3.3810000000000002, 3282.18, 3254.47, 3290.51, 1638.3, 1656.81, 1632.75, 2308.71, 2307.27, 2313.73, 2295.62, 148.27, 3.605, 3.605, 3.763, 3.763, 3.763, 3.763, 1116.29, 1118.98, 1097.8, 1.0417, 1.0427, 1.0337, 3.3689999999999998, 70800.0, 70620.0, 24.9309, 24.5514, 81.77, 82.0, 32729.3, 10681.83, 10719.44, 5.36, 5.36, 6579.26, 6622.36, 10572.02, 10584.56, 141.0, 141.85, 140.4, 964.03, 968.68, 961.46, 1039.87, 1050.18, 0.8982, 0.9016, 80.59, 79.75, 1850.24, 1854.82, 1.2744, 1.2757, 1.2687, 638.49, 639.69, 635.95, 654.21, 1118.1, 1126.5, 1115.0, 12204.4, 12139.8, 1.5998, 1.6092, 1.5967, 418.75, 420.0, 23555.73, 23479.89, 2605.28, 2606.07, 2575.62, 3.968, 3.968, 3.968, 0.7337, 0.7342, 0.7390000000000001, 0.7317, 3519.94, 3481.64, 3535.81, 1.327, 1.341, 1106.26, 1092.14, 1140.2, 1151.0, 1168.65, 1165.75, 11900.01, 11935.24, 11837.23, 12.4313, 12.4812, 12.329, 6239.1, 6201.76, 6254.03, 6201.76, 740.86, 730.8, 2.1941, 2.206, 2.1678, 4.093999999999999, 4.093999999999999, 4.093999999999999, 4.093999999999999, 91.25, 17.781, 17.575, 557.63, 559.88, 5.7070000000000025, 5.7070000000000025, 2553.0
2010-01-07, 1683.45, 3.6189999999999998, 3.6189999999999998, 3.6189999999999998, 1.4413, 1.4364, 341.58, 342.77, 5530.0, 5536.5, 5497.6, 12.174, 165.38, 167.69, 6.0089999999999995, 6.075, 5.65, 70729.34, 2.8080000000000003, 2.8080000000000003, 2.8080000000000003, 6034.33, 6032.39, 1503.355, 1435.41, 1403.395, 1363.42, 4.052, 5278.15, 5310.85, 1139.19, 1133.95, 3.478, 3.4360000000000004, 3254.22, 3277.52, 3295.87, 1627.74, 1636.23, 1620.08, 2301.09, 2307.71, 2314.07, 2295.68, 146.86, 3.614, 3.614, 3.8289999999999997, 3.8289999999999997, 3.8289999999999997, 3.8289999999999997, 1101.32, 1107.49, 1092.09, 1.0387, 1.0412, 1.0312, 3.391, 70850.0, 70770.0, 24.8356, 24.5412, 83.18, 83.52, 32730.42, 10731.45, 10709.55, 5.38, 5.38, 6559.41, 6607.79, 10573.68, 10564.72, 141.6, 141.6, 140.05, 965.71, 969.47, 961.865, 1039.2, 1039.06, 0.8993, 0.9014, 81.89, 79.77, 1821.47, 1829.92, 1.2828, 1.274, 1.2705, 637.95, 638.29, 636.4, 649.42, 1135.9, 1139.2, 1120.7, 12222.5, 12147.6, 1.6025, 1.5991, 1.5938, 421.75, 422.0, 23622.29, 23484.06, 2603.3, 2622.12, 2587.71, 4.003, 4.003, 4.003, 0.7378, 0.7336, 0.7387, 0.7304, 3509.36, 3519.94, 3545.56, 1.341, 1.348, 1101.05, 1087.78, 1129.2, 1144.7, 1169.75, 1166.97, 11912.88, 11971.62, 11888.08, 12.2274, 12.5034, 12.1868, 6260.9, 6239.1, 6269.81, 6232.71, 737.12, 732.66, 2.2032, 2.212, 2.1634, 4.124, 4.124, 4.124, 4.124, 91.53, 18.163, 17.84, 552.63, 567.63, 5.702000000000001, 5.702000000000001, 2577.74
2010-01-08, 1695.26, 3.636, 3.636, 3.636, 1.4318, 1.4407, 340.56, 340.96, 5526.7, 5551.7, 5499.8, 12.121, 166.69, 166.69, 5.806, 6.108, 5.763, 70451.12, 2.987, 2.987, 2.987, 6019.36, 6016.8, 1522.8366666666666, 1438.506666666667, 1417.19, 1365.7133333333334, 4.059, 5281.8, 5302.55, 1142.46, 1131.32, 3.412, 3.4989999999999997, 3192.78, 3253.99, 3268.82, 1629.74, 1625.28, 1616.02, 2300.05, 2298.09, 2301.3, 2285.22, 145.49, 3.5780000000000003, 3.5780000000000003, 3.827, 3.827, 3.827, 3.827, 1097.36, 1106.02, 1089.33, 1.032, 1.0375, 1.0292, 3.3710000000000004, 70990.0, 70715.0, 24.9648, 24.6511, 82.66, 83.36, 32830.22, 10681.66, 10742.75, 5.3, 5.3, 6555.36, 6574.16, 10606.86, 10571.11, 141.9, 141.55, 139.85, 967.39, 970.26, 962.27, 1043.67, 1037.49, 0.8984, 0.9027, 81.51, 81.05, 1806.02, 1819.12, 1.281, 1.2823, 1.2781, 641.97, 638.11, 632.74, 645.57, 1133.1, 1133.0, 1129.2, 12166.3, 12079.1, 1.5935, 1.6011, 1.5894, 417.5, 424.0, 23709.01, 23467.26, 2586.89, 2611.6, 2570.27, 3.986, 3.986, 3.986, 0.7325, 0.738, 0.7431, 0.7313, 3478.56, 3509.36, 3512.58, 1.341, 1.354, 1102.9, 1091.01, 1138.2, 1138.2, 1166.23, 1166.46, 11925.03, 11944.54, 11819.5, 12.1974, 12.3384, 12.0989, 6271.0633333333335, 6265.446666666668, 6285.92, 6238.013333333332, 740.91, 733.75, 2.1836, 2.2069, 2.1779, 4.083, 4.083, 4.083, 4.083, 92.11, 18.333, 18.095, 567.0, 567.0, 5.735, 5.735, 2579.63
2010-01-11, 1694.12, 3.6, 3.6, 3.6, 1.4413, 1.432, 341.98, 343.29, 5534.2, 5549.3, 5494.8, 12.106, 165.25, 166.63, 5.749, 5.853, 5.621, 70262.7, 3.09, 3.09, 3.09, 6037.61, 6028.62, 1542.3183333333334, 1441.6033333333335, 1430.985, 1368.0066666666667, 4.069, 5264.25, 5276.75, 1145.39, 1136.22, 3.388, 3.4010000000000002, 3196.0, 3177.26, 3198.92, 1626.32, 1628.24, 1610.64, 2317.17, 2292.24, 2317.6, 2290.61, 146.62, 3.58, 3.58, 3.8360000000000003, 3.8360000000000003, 3.8360000000000003, 3.8360000000000003, 1100.02, 1104.56, 1086.8, 1.0343, 1.0385, 1.0295, 3.3789999999999996, 71240.0, 70810.0, 24.9352, 24.6057, 82.75, 83.47, 33067.57, 10798.32, 10743.3, 5.33, 5.33, 6617.88, 6635.78, 10618.19, 10606.4, 145.35, 142.45, 141.95, 965.7, 974.9, 965.7, 1042.84, 1043.61, 0.8994, 0.9008, 81.37, 80.59, 1811.9, 1820.38, 1.2892, 1.2829, 1.276, 644.56, 640.34, 639.56, 644.08, 1138.2, 1136.9, 1122.7, 12163.0, 12079.9, 1.6028, 1.5934, 1.5914, 423.0, 423.75, 23811.13, 23667.59, 2614.37, 2614.54, 2583.85, 3.975, 3.975, 3.975, 0.737, 0.7325, 0.7381, 0.7287, 3514.63, 3478.56, 3521.58, 1.361, 1.375, 1100.42, 1087.11, 1128.25, 1138.0, 1167.97, 1173.34, 11883.26, 11953.83, 11863.13, 12.171, 12.2442, 12.0779, 6281.2266666666665, 6291.793333333334, 6302.0300000000025, 6243.3166666666675, 740.91, 736.03, 2.2003, 2.2081, 2.1587, 4.075, 4.075, 4.075, 4.075, 92.28, 18.458, 18.12, 556.63, 569.63, 5.76, 5.76, 2580.69
2010-01-12, 1698.64, 3.612, 3.612, 3.612, 1.4514, 1.4432, 344.2, 345.56, 5538.1, 5600.5, 5527.9, 11.807, 164.14, 164.81, 5.454, 5.625, 5.371, 70433.48, 3.181, 3.181, 3.181, 6040.5, 6057.93, 1561.8, 1444.7, 1444.78, 1370.3, 3.9810000000000003, 5263.8, 5287.2, 1149.74, 1142.02, 3.429, 3.47, 3212.75, 3301.61, 3306.75, 1626.24, 1625.11, 1613.81, 2312.41, 2324.78, 2326.28, 2302.21, 145.19, 3.5469999999999997, 3.5469999999999997, 3.824, 3.824, 3.824, 3.824, 1101.31, 1106.01, 1092.84, 1.0282, 1.0345, 1.0252, 3.345, 71600.0, 70740.0, 24.7624, 24.4661, 82.52, 83.95, 32892.11, 10838.73, 10756.825, 5.36, 5.36, 6592.26, 6666.45, 10663.99, 10620.31, 143.7, 145.85, 142.55, 973.15, 985.69, 973.15, 1043.36, 1046.58, 0.9012, 0.9029, 80.97, 80.41, 1809.69, 1812.97, 1.2929, 1.2935, 1.2873, 643.99, 647.32, 641.39, 643.02, 1150.7, 1161.2, 1143.0, 12074.5, 12066.1, 1.6104, 1.6071, 1.6047, 422.5, 425.0, 23774.76, 23771.87, 2632.2, 2649.2, 2615.61, 3.9619999999999997, 3.9619999999999997, 3.9619999999999997, 0.7417, 0.74, 0.7437, 0.7383, 3515.78, 3514.63, 3549.27, 1.3575, 1.3725, 1096.53, 1082.33, 1120.5, 1125.4, 1169.71, 1180.22, 12070.74, 12070.2, 11923.22, 12.1668, 12.2065, 12.0696, 6291.39, 6318.14, 6318.14, 6248.62, 748.02, 742.72, 2.1801, 2.2272, 2.166, 4.05, 4.05, 4.05, 4.05, 91.82, 18.683, 18.665, 568.13, 574.5, 5.77, 5.77, 2585.58
2010-01-13, 1671.41, 3.556, 3.556, 3.556, 1.4495, 1.4514, 340.69, 341.51, 5498.7, 5549.6, 5459.9, 12.2, 164.16, 165.13, 5.591, 5.605, 5.354, 70075.77, 3.088, 3.088, 3.088, 5943.0, 6039.39, 1559.75, 1528.09, 1427.67, 1424.87, 3.937, 5251.1, 5300.5, 1143.81, 1131.77, 3.3369999999999997, 3.38, 3273.97, 3205.7, 3275.2, 1624.3, 1625.46, 1620.18, 2282.31, 2297.28, 2298.85, 2272.7, 144.41, 3.529, 3.529, 3.717, 3.717, 3.717, 3.717, 1101.93, 1107.75, 1097.47, 1.0335, 1.0417, 1.0314, 3.3139999999999996, 70410.0, 69875.0, 24.9843, 24.4799, 80.79, 82.34, 32950.34, 10879.14, 10770.35, 5.38, 5.38, 6541.9, 6608.81, 10627.26, 10662.86, 143.1, 144.0, 142.5, 978.24, 981.08, 967.49, 1031.65, 1041.26, 0.8961, 0.9028, 79.3, 78.49, 1803.98, 1816.39, 1.28, 1.29, 1.2733, 635.5, 639.96, 633.62, 639.78, 1128.9, 1157.2, 1127.2, 11966.1, 11941.1, 1.6176, 1.6109, 1.6063, 392.5, 419.0, 23583.35, 23512.35, 2659.55, 2659.98, 2623.77, 3.945, 3.945, 3.945, 0.7382, 0.7415, 0.7431, 0.7365, 3494.62, 3515.78, 3520.39, 1.354, 1.37, 1089.53, 1075.3, 1120.75, 1127.3, 1145.85, 1168.47, 11866.63, 11947.13, 11766.51, 12.3207, 12.3533, 12.1218, 6266.26, 6291.39, 6291.39, 6238.65, 749.24, 745.15, 2.1318, 2.1753, 2.1074, 4.053999999999999, 4.053999999999999, 4.053999999999999, 4.053999999999999, 90.72, 18.243, 18.28, 574.25, 574.25, 5.71, 5.71, 2562.36
2010-01-14, 1685.77, 3.61, 3.61, 3.61, 1.4512, 1.4484, 335.36, 339.01, 5473.5, 5509.7, 5450.9, 12.175999999999998, 164.43, 165.6, 5.733, 5.785, 5.432, 70385.47, 3.0060000000000002, 3.0060000000000002, 3.0060000000000002, 5963.14, 5937.17, 1548.46, 1512.81, 1435.01, 1412.9, 3.966, 5212.6, 5239.2, 1148.4, 1133.18, 3.388, 3.312, 3172.66, 3204.98, 3232.82, 1629.53, 1622.35, 1617.79, 2307.9, 2289.46, 2313.03, 2274.12, 144.45, 3.534, 3.534, 3.793, 3.793, 3.793, 3.793, 1099.58, 1110.18, 1096.52, 1.0391, 1.0413, 1.029, 3.303, 70830.0, 70040.0, 24.8728, 24.4435, 79.65, 80.67, 32792.87, 10735.03, 10795.48, 5.33, 5.33, 6554.55, 6573.07, 10680.77, 10628.09, 145.15, 142.95, 142.75, 969.49, 974.96, 964.35, 1038.05, 1030.07, 0.8909999999999999, 0.897, 78.31, 77.04, 1810.32, 1834.01, 1.2837, 1.2786, 1.2768, 643.56, 637.15, 633.26, 635.85, 1136.4, 1136.4, 1121.0, 11958.3, 11909.6, 1.6288, 1.6162, 1.6136, 384.0, 385.25, 23658.4, 23462.36, 2632.87, 2657.9, 2623.46, 3.9560000000000004, 3.9560000000000004, 3.9560000000000004, 0.7401, 0.7381, 0.7425, 0.7371, 3536.71, 3494.62, 3541.92, 1.34, 1.35, 1090.09, 1075.12, 1123.0, 1130.6, 1151.9, 1144.87, 11802.81, 11865.19, 11738.56, 12.2853, 12.4166, 12.2339, 6262.83, 6266.26, 6304.05, 6242.21, 746.74, 741.4, 2.0946, 2.1189, 2.06, 4.0889999999999995, 4.0889999999999995, 4.0889999999999995, 4.0889999999999995, 90.9, 18.538, 18.325, 537.88, 537.88, 5.605, 5.605, 2557.91
2010-01-15, 1701.8, 3.554, 3.554, 3.554, 1.4503, 1.4509999999999998, 341.2, 341.77, 5498.2, 5521.9, 5473.5, 12.178, 164.5, 164.62, 5.587999999999999, 5.803999999999999, 5.483, 69801.41, 3.0460000000000003, 3.0460000000000003, 3.0460000000000003, 5988.88, 5999.08, 1561.91, 1538.22, 1455.65, 1435.01, 3.9810000000000003, 5234.5, 5272.85, 1150.41, 1143.8, 3.3760000000000003, 3.4139999999999997, 3215.55, 3183.38, 3219.02, 1629.03, 1628.02, 1620.79, 2316.74, 2303.31, 2322.56, 2303.29, 144.64, 3.54, 3.54, 3.742, 3.742, 3.742, 3.742, 1101.84, 1105.07, 1095.17, 1.0305, 1.0324, 1.0223, 3.295, 71000.0, 70250.0, 24.7343, 24.51, 79.39, 80.36, 32843.56, 10907.68, 10778.07, 5.35, 5.35, 6627.42, 6646.52, 10710.55, 10680.16, 144.35, 145.15, 143.55, 975.61, 984.65, 975.61, 1045.91, 1036.73, 0.8881, 0.8939, 77.82, 77.49, 1826.84, 1836.05, 1.2932, 1.2827, 1.2778, 646.43, 643.56, 642.16, 630.73, 1142.6, 1145.9, 1132.8, 11999.8, 11902.3, 1.6333, 1.6283, 1.6248, 381.0, 382.75, 23805.99, 23692.61, 2645.18, 2661.93, 2633.58, 3.987, 3.987, 3.987, 0.7421, 0.7401, 0.7444, 0.7386, 3549.925, 3515.78, 3559.38, 1.347, 1.361, 1098.5, 1083.66, 1123.0, 1123.9, 1146.95, 1160.05, 11873.62, 11888.33, 11776.44, 12.3204, 12.3636, 12.172, 6311.5666666666675, 6308.723333333332, 6344.26, 6286.04, 751.93, 747.94, 2.0829, 2.1091, 2.0649, 4.1, 4.1, 4.1, 4.1, 90.85, 18.643, 18.555, 534.88, 534.88, 5.6679999999999975, 5.6679999999999975, 2565.07
