@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute CANADA_10_YEAR_Now numeric
@attribute CANADA_10_YEAR_Low numeric
@attribute EUR_USD_Now numeric
@attribute EUR_USD_High numeric
@attribute EUR_USD_Low numeric
@attribute AEX_Now numeric
@attribute FTSE_Now_x numeric
@attribute IDR_KRW_Open numeric
@attribute CNY_KRW_Now numeric
@attribute CNY_KRW_Open numeric
@attribute CNY_KRW_High numeric
@attribute CNY_KRW_Low numeric
@attribute GAS_Now numeric
@attribute Brazil_Now numeric
@attribute Brazil_High numeric
@attribute HONH_KONG_10_YEAR_Open numeric
@attribute HONH_KONG_10_YEAR_Low numeric
@attribute RTSI_Open numeric
@attribute RTSI_Low numeric
@attribute MOEX_Now numeric
@attribute MOEX_Low numeric
@attribute UK_10_YEAR_High numeric
@attribute Nifty_Now numeric
@attribute Nifty_Open numeric
@attribute Nifty_High numeric
@attribute S&P_Now numeric
@attribute S&P_Open numeric
@attribute S&P_High numeric
@attribute S&P_Low numeric
@attribute Copper_Now numeric
@attribute Copper_Open numeric
@attribute Copper_Low numeric
@attribute SANGHAI_Now numeric
@attribute SANGHAI_Open numeric
@attribute SANGHAI_High numeric
@attribute EUR_KRW_Now numeric
@attribute EUR_KRW_High numeric
@attribute EUR_KRW_Low numeric
@attribute NASDAQ_Open numeric
@attribute NASDAQ_High numeric
@attribute HKD_KRW_Low numeric
@attribute FRANCE_10_YEAR_Open numeric
@attribute FRANCE_10_YEAR_Low numeric
@attribute US_10_YEAR_Open numeric
@attribute CHF_KRW_Now numeric
@attribute CHF_KRW_Open numeric
@attribute CHF_KRW_High numeric
@attribute CHF_KRW_Low numeric
@attribute USD_CAD_Open numeric
@attribute USD_CAD_High numeric
@attribute USD_CAD_Low numeric
@attribute GERMANY_10_YEAR_Now numeric
@attribute GERMANY_10_YEAR_Open numeric
@attribute iBovespa_Now numeric
@attribute iBovespa_Open numeric
@attribute iBovespa_Low numeric
@attribute INR_KRW_High numeric
@attribute INR_KRW_Low numeric
@attribute WTI_Now numeric
@attribute WTI_Open numeric
@attribute WTI_Low numeric
@attribute S&P_BMV_Now numeric
@attribute S&P_BMV_Open numeric
@attribute NIKKEI_Open numeric
@attribute NIKKEI_High numeric
@attribute NIKKEI_Low numeric
@attribute SOUTH_KOREA_10_YEAR_High numeric
@attribute SOUTH_KOREA_10_YEAR_Low numeric
@attribute SMI_Now numeric
@attribute SMI_Open numeric
@attribute SMI_Low numeric
@attribute DOWJONES_Now numeric
@attribute DOWJONES_Open numeric
@attribute DOWJONES_High numeric
@attribute DOWJONES_Low numeric
@attribute OMXS_Open numeric
@attribute OMXS_Low numeric
@attribute AUD_KRW_Now numeric
@attribute AUD_KRW_Low numeric
@attribute EUR_GBP_Open numeric
@attribute EUR_GBP_Low numeric
@attribute BRENT_OIL_Open numeric
@attribute BRENT_OIL_High numeric
@attribute BRENT_OIL_Low numeric
@attribute GBP_KRW_Open numeric
@attribute Russell_Open numeric
@attribute Russell_High numeric
@attribute BRL_KRW_Now numeric
@attribute BRL_KRW_Open numeric
@attribute BRL_KRW_High numeric
@attribute BRL_KRW_Low numeric
@attribute Gold_Now numeric
@attribute Gold_Open numeric
@attribute IBEX_Now numeric
@attribute IBEX_Open numeric
@attribute IBEX_High numeric
@attribute IBEX_Low numeric
@attribute GBP_USD_Now numeric
@attribute GBP_USD_Open numeric
@attribute GBP_USD_High numeric
@attribute GBP_USD_Low numeric
@attribute Corn_Now numeric
@attribute Corn_High numeric
@attribute Corn_Low numeric
@attribute FTSE_Now_y numeric
@attribute FTSE_Open_y numeric
@attribute FTSE_Low_y numeric
@attribute IDX_High numeric
@attribute IDX_Low numeric
@attribute SPAIN_10_YEAR_High numeric
@attribute NZD_USD_Open numeric
@attribute NZD_USD_High numeric
@attribute CSE_Now numeric
@attribute CSE_Open numeric
@attribute JAPAN_10_YEAR_Now numeric
@attribute JAPAN_10_YEAR_Open numeric
@attribute CAD_KRW_Open numeric
@attribute USD_KRW_Now numeric
@attribute USD_KRW_Open numeric
@attribute TA_Now numeric
@attribute TA_Open numeric
@attribute TA_High numeric
@attribute TA_Low numeric
@attribute S&P_TSX_Now numeric
@attribute S&P_TSX_Open numeric
@attribute S&P_TSX_High numeric
@attribute JPY_KRW_Open numeric
@attribute JPY_KRW_High numeric
@attribute Tadawul_Open numeric
@attribute Tadawul_High numeric
@attribute SET_High numeric
@attribute SET_Low numeric
@attribute HEATING_OIL_Now numeric
@attribute HEATING_OIL_Open numeric
@attribute HEATING_OIL_Low numeric
@attribute ITALY_10_YEAR_Open numeric
@attribute USD_JPY_High numeric
@attribute Silver_Now numeric
@attribute Silver_Open numeric
@attribute US_WHEAT_Now numeric
@attribute US_WHEAT_Open numeric
@attribute US_WHEAT_Low numeric
@attribute AUS_10_YEAR_Now numeric
@attribute AUS_10_YEAR_Low numeric
@attribute BEL_Open numeric
@attribute BEL_Low numeric

@data
2010-01-04, 1696.14, 3.603, 3.603, 1.4335, 1.4364, 1.4274, 335.14, 5397.9, 12.356, 171.01, 170.73, 171.75, 169.92, 5.709, 68588.41, 68588.41, 2.7760000000000002, 2.7760000000000002, 1444.91, 1426.12, 1362.01, 1356.54, 4.059, 5169.45, 5188.75, 5197.05, 1126.42, 1125.53, 1126.42, 1121.94, 3.325, 3.283, 3.283, 3262.6, 3211.83, 3267.0, 1673.37, 1680.39, 1660.64, 2284.56, 2293.02, 149.61, 3.595, 3.595, 3.793, 1125.39, 1124.29, 1129.31, 1115.68, 1.0439, 1.0581, 1.0426, 3.388, 3.388, 69185.0, 68600.0, 68595.0, 25.2295, 24.8219, 79.28, 78.8, 78.46, 32448.74, 32627.9, 10707.51, 10707.51, 10546.44, 5.41, 5.41, 6545.91, 6606.14, 6530.9, 10548.51, 10544.36, 10583.28, 10470.75, 965.74, 951.54, 1043.88, 1032.9, 0.9027, 0.8906, 77.53, 78.65, 77.51, 1853.12, 630.98, 634.09, 670.74, 669.31, 673.09, 662.18, 1091.5, 1096.5, 11940.0, 12018.4, 12020.1, 11923.0, 1.6071, 1.5896, 1.6096, 1.5833, 413.75, 416.75, 400.5, 23248.39, 23364.77, 23197.13, 2534.36, 2519.01, 3.978, 0.7168, 0.7238, 3385.55, 3356.64, 1.291, 1.3019999999999998, 1116.75, 1167.25, 1167.25, 1140.69, 1133.93, 1143.35, 1132.62, 11717.46, 11687.1, 11728.41, 12.6684, 12.746, 6121.78, 6147.1, 742.31, 733.41, 2.1093, 2.1094, 2.1025, 4.14, 92.76, 16.779, 16.99, 543.75, 540.75, 540.63, 5.778, 5.778, 2518.46, 2510.66
2010-01-05, 1690.62, 3.608, 3.608, 1.4413, 1.4457, 1.4257, 343.03, 5500.3, 12.334, 168.42, 170.34, 170.51, 168.14, 5.8839999999999995, 70045.08, 70080.97, 2.977, 2.977, 1444.875, 1429.216666666667, 1375.805, 1358.8333333333333, 3.9730000000000003, 5232.2, 5200.9, 5238.45, 1132.99, 1116.56, 1133.87, 1116.56, 3.388, 3.358, 3.353, 3243.76, 3289.75, 3295.28, 1657.55, 1669.06, 1644.96, 2294.41, 2311.15, 148.07, 3.609, 3.609, 3.823, 1116.78, 1123.2, 1124.76, 1106.56, 1.052, 1.052, 1.0353, 3.39, 3.39, 70850.0, 69450.0, 69450.0, 25.0634, 24.7438, 81.51, 79.63, 79.63, 32758.53, 32120.74, 10609.34, 10694.49, 10608.14, 5.42, 5.42, 6631.44, 6578.45, 6575.96, 10583.96, 10430.69, 10641.62, 10430.69, 951.72, 951.72, 1050.58, 1031.85, 0.8856, 0.8851, 78.49, 80.48, 78.34, 1880.45, 628.11, 640.1, 668.12, 667.09, 669.61, 661.26, 1117.7, 1097.1, 12145.1, 11986.5, 12145.1, 11986.1, 1.6097, 1.6127, 1.6242, 1.6059, 418.5, 426.25, 413.25, 23545.02, 23359.89, 23317.12, 2576.06, 2532.9, 3.965, 0.7236, 0.7354, 3481.64, 3385.66, 1.329, 1.3159999999999998, 1105.26, 1150.0, 1164.07, 1163.11, 1162.89, 1166.2, 1159.55, 11866.9, 11847.34, 11872.15, 12.4994, 12.5587, 6149.91, 6202.32, 737.14, 725.65, 2.1905, 2.138, 2.13, 4.1160000000000005, 93.21, 17.44, 16.885, 557.63, 540.75, 540.75, 5.843, 5.843, 2521.73, 2521.73
2010-01-06, 1705.32, 3.5639999999999996, 3.5639999999999996, 1.4369, 1.4484, 1.4346, 342.02, 5522.5, 12.299, 166.87, 168.39, 168.61, 166.28, 5.6370000000000005, 70239.81, 70594.55, 2.8930000000000002, 2.8930000000000002, 1444.84, 1432.313333333333, 1389.6, 1361.1266666666666, 4.004, 5277.9, 5277.15, 5288.35, 1136.52, 1132.66, 1136.63, 1129.66, 3.3960000000000004, 3.3810000000000002, 3.3689999999999998, 3282.18, 3254.47, 3290.51, 1638.3, 1660.49, 1632.75, 2307.27, 2313.73, 146.37, 3.605, 3.605, 3.763, 1102.82, 1116.29, 1118.98, 1097.8, 1.0417, 1.0427, 1.0337, 3.3689999999999998, 3.3689999999999998, 70991.0, 70800.0, 70620.0, 24.9309, 24.5514, 81.77, 81.63, 80.95, 32732.76, 32729.3, 10719.44, 10791.04, 10655.57, 5.36, 5.36, 6579.26, 6620.66, 6547.43, 10572.02, 10584.56, 10647.14, 10468.86, 964.03, 961.46, 1039.87, 1034.44, 0.8953, 0.8941, 80.29, 80.84, 79.75, 1850.24, 639.69, 641.89, 658.69, 668.1, 669.06, 654.21, 1118.1, 1122.0, 12204.4, 12141.8, 12240.5, 12139.8, 1.5998, 1.6092, 1.6156, 1.5967, 418.75, 420.0, 415.25, 23555.73, 23554.43, 23479.89, 2606.07, 2575.62, 3.968, 0.7342, 0.7390000000000001, 3519.94, 3481.64, 1.338, 1.327, 1103.44, 1140.2, 1151.0, 1168.65, 1165.75, 1170.22, 1163.71, 11888.08, 11900.01, 11935.24, 12.4257, 12.4812, 6201.76, 6254.03, 740.86, 730.8, 2.1941, 2.1929, 2.1678, 4.093999999999999, 92.51, 17.781, 17.595, 552.63, 557.63, 552.13, 5.7070000000000025, 5.7070000000000025, 2566.87, 2553.0
2010-01-07, 1683.45, 3.6189999999999998, 3.6189999999999998, 1.4413, 1.4436, 1.4282, 341.48, 5530.0, 12.217, 165.38, 166.85, 167.69, 165.21, 6.0089999999999995, 70729.34, 70936.59, 2.8080000000000003, 2.8080000000000003, 1444.805, 1435.41, 1403.395, 1363.42, 4.052, 5281.8, 5278.15, 5310.85, 1137.14, 1135.71, 1139.19, 1133.95, 3.478, 3.4360000000000004, 3.4330000000000003, 3254.22, 3277.52, 3295.87, 1627.74, 1644.48, 1620.08, 2307.71, 2314.07, 145.48, 3.614, 3.614, 3.8289999999999997, 1098.98, 1101.32, 1107.49, 1092.09, 1.0387, 1.0412, 1.0312, 3.391, 3.391, 71453.0, 70850.0, 70770.0, 24.8356, 24.5412, 83.18, 81.43, 80.85, 32830.16, 32730.42, 10709.55, 10768.61, 10661.17, 5.38, 5.38, 6559.41, 6598.18, 6550.1, 10573.68, 10564.72, 10655.22, 10488.28, 965.71, 961.865, 1039.2, 1031.92, 0.8981, 0.8922, 80.38, 82.21, 79.77, 1821.47, 638.29, 641.26, 651.78, 658.38, 661.03, 649.42, 1135.9, 1120.7, 12222.5, 12216.4, 12230.7, 12147.6, 1.6025, 1.5991, 1.6065, 1.5938, 421.75, 422.0, 416.0, 23622.29, 23579.55, 23484.06, 2622.12, 2587.71, 4.003, 0.7336, 0.7387, 3509.36, 3519.94, 1.3419999999999999, 1.341, 1096.76, 1129.2, 1140.2, 1169.75, 1166.97, 1169.76, 1162.14, 11944.54, 11912.88, 11971.62, 12.4218, 12.5034, 6239.1, 6269.81, 737.12, 732.66, 2.2032, 2.18, 2.1634, 4.124, 92.74, 18.163, 17.84, 567.13, 552.63, 551.25, 5.702000000000001, 5.702000000000001, 2590.13, 2577.74
2010-01-08, 1695.26, 3.636, 3.636, 1.4318, 1.4447, 1.4295, 340.55, 5526.7, 12.19, 166.69, 165.21, 166.69, 165.02, 5.806, 70451.12, 70722.91, 2.987, 2.987, 1444.77, 1438.506666666667, 1417.19, 1365.7133333333334, 4.059, 5263.1, 5281.8, 5302.55, 1141.69, 1136.27, 1142.46, 1131.32, 3.412, 3.4989999999999997, 3.411, 3192.78, 3253.99, 3268.82, 1629.74, 1636.66, 1616.02, 2298.09, 2301.3, 145.31, 3.5780000000000003, 3.5780000000000003, 3.827, 1101.15, 1097.36, 1106.02, 1089.33, 1.032, 1.0375, 1.0292, 3.3710000000000004, 3.3710000000000004, 71122.0, 70990.0, 70715.0, 24.9648, 24.6511, 82.66, 83.2, 82.26, 33064.57, 32830.22, 10742.75, 10774.0, 10636.67, 5.3, 5.3, 6555.36, 6536.5, 6494.9, 10606.86, 10571.11, 10655.6, 10471.73, 967.39, 962.27, 1043.67, 1035.11, 0.8997, 0.8976, 82.0, 82.05, 81.05, 1806.02, 638.11, 642.07, 651.7, 651.05, 657.44, 645.57, 1133.1, 1132.1, 12166.3, 12163.0, 12199.7, 12079.1, 1.5935, 1.6011, 1.606, 1.5894, 417.5, 424.0, 414.5, 23709.01, 23551.12, 23467.26, 2611.6, 2570.27, 3.986, 0.738, 0.7431, 3478.56, 3509.36, 1.3519999999999999, 1.341, 1092.9, 1138.2, 1129.2, 1166.23, 1166.46, 1168.02, 1161.92, 11887.51, 11925.03, 11944.54, 12.2192, 12.3384, 6265.446666666668, 6285.92, 740.91, 733.75, 2.1836, 2.2045, 2.1779, 4.083, 93.77, 18.333, 18.1, 556.63, 567.0, 556.38, 5.735, 5.735, 2591.77, 2579.63
2010-01-11, 1694.12, 3.6, 3.6, 1.4413, 1.444, 1.4263, 341.94, 5534.2, 12.277, 165.25, 166.21, 166.63, 165.15, 5.749, 70262.7, 70765.88, 3.09, 3.09, 1444.735, 1441.6033333333335, 1430.985, 1368.0066666666667, 4.069, 5244.75, 5264.25, 5276.75, 1144.98, 1140.52, 1145.39, 1136.22, 3.388, 3.4010000000000002, 3.38, 3196.0, 3177.26, 3198.92, 1626.32, 1629.34, 1610.64, 2292.24, 2317.6, 145.38, 3.58, 3.58, 3.8360000000000003, 1102.4, 1100.02, 1104.56, 1086.8, 1.0343, 1.0385, 1.0295, 3.3789999999999996, 3.3789999999999996, 71004.0, 71240.0, 70810.0, 24.9352, 24.6057, 82.75, 82.65, 81.8, 32892.04, 33067.57, 10743.3, 10816.45, 10677.56, 5.33, 5.33, 6617.88, 6574.67, 6573.95, 10618.19, 10606.4, 10653.11, 10509.74, 965.7, 965.7, 1042.84, 1030.58, 0.8984, 0.8917, 81.51, 82.05, 80.59, 1811.9, 640.34, 644.69, 653.6, 651.09, 655.27, 644.08, 1138.2, 1124.9, 12163.0, 12218.0, 12232.2, 12079.9, 1.6028, 1.5934, 1.6111, 1.5914, 423.0, 423.75, 415.0, 23811.13, 23816.3, 23667.59, 2614.54, 2583.85, 3.975, 0.7325, 0.7381, 3514.63, 3478.56, 1.369, 1.361, 1099.06, 1128.25, 1135.5, 1167.97, 1173.34, 1174.12, 1165.815, 11953.83, 11883.26, 11953.83, 12.1886, 12.2442, 6291.793333333334, 6302.0300000000025, 740.91, 736.03, 2.2003, 2.1864, 2.1587, 4.075, 93.67, 18.458, 18.12, 568.13, 556.63, 553.88, 5.76, 5.76, 2597.71, 2580.69
2010-01-12, 1698.64, 3.612, 3.612, 1.4514, 1.4558, 1.4407, 340.52, 5538.1, 12.193, 164.14, 164.65, 164.81, 163.32, 5.454, 70433.48, 71068.05, 3.181, 3.181, 1444.7, 1444.7, 1444.78, 1370.3, 3.9810000000000003, 5249.4, 5263.8, 5287.2, 1146.98, 1145.96, 1149.74, 1142.02, 3.429, 3.47, 3.435, 3212.75, 3301.61, 3306.75, 1626.24, 1631.16, 1613.81, 2324.78, 2326.28, 143.75, 3.5469999999999997, 3.5469999999999997, 3.824, 1102.53, 1101.31, 1106.01, 1092.84, 1.0282, 1.0345, 1.0252, 3.345, 3.345, 71005.0, 71600.0, 70740.0, 24.7624, 24.4661, 82.52, 82.88, 81.96, 32935.38, 32892.11, 10756.825, 10860.92, 10720.62, 5.36, 5.36, 6592.26, 6652.78, 6592.26, 10663.99, 10620.31, 10739.87, 10538.91, 973.15, 973.15, 1043.36, 1038.01, 0.8976, 0.8968, 81.53, 82.45, 80.41, 1809.69, 647.32, 648.4, 645.45, 650.77, 652.86, 643.02, 1150.7, 1143.0, 12074.5, 12192.5, 12233.9, 12066.1, 1.6104, 1.6071, 1.6195, 1.6047, 422.5, 425.0, 418.0, 23774.76, 23946.44, 23771.87, 2649.2, 2615.61, 3.9619999999999997, 0.74, 0.7437, 3515.78, 3514.63, 1.3605, 1.3575, 1095.21, 1120.5, 1124.7, 1169.71, 1180.22, 1180.22, 1169.71, 11947.13, 12070.74, 12070.2, 12.1633, 12.2065, 6318.14, 6318.14, 748.02, 742.72, 2.1801, 2.2145, 2.166, 4.05, 92.66, 18.683, 18.755, 574.25, 568.13, 563.88, 5.77, 5.77, 2604.65, 2585.58
2010-01-13, 1671.41, 3.556, 3.556, 1.4495, 1.4548, 1.4453, 336.77, 5498.7, 12.225, 164.16, 163.95, 165.13, 163.61, 5.591, 70075.77, 70428.81, 3.088, 3.088, 1550.2, 1528.09, 1427.67, 1424.87, 3.937, 5210.4, 5251.1, 5300.5, 1136.22, 1143.81, 1143.81, 1131.77, 3.3369999999999997, 3.38, 3.31, 3273.97, 3205.7, 3275.2, 1624.3, 1633.3, 1620.18, 2297.28, 2298.85, 144.01, 3.529, 3.529, 3.717, 1101.37, 1101.93, 1107.75, 1097.47, 1.0335, 1.0417, 1.0314, 3.3139999999999996, 3.3139999999999996, 70725.0, 70410.0, 69875.0, 24.9843, 24.4799, 80.79, 82.07, 79.91, 32792.66, 32950.34, 10770.35, 10905.39, 10763.68, 5.38, 5.38, 6541.9, 6596.67, 6517.33, 10627.26, 10662.86, 10701.48, 10523.35, 978.24, 967.49, 1031.65, 1027.16, 0.9009, 0.8952, 80.55, 80.86, 78.49, 1803.98, 639.96, 641.14, 641.16, 644.33, 650.18, 639.78, 1128.9, 1155.0, 11966.1, 12094.4, 12134.2, 11941.1, 1.6176, 1.6109, 1.6197, 1.6063, 392.5, 419.0, 392.5, 23583.35, 23823.47, 23512.35, 2659.98, 2623.77, 3.945, 0.7415, 0.7431, 3494.62, 3515.78, 1.3519999999999999, 1.354, 1083.49, 1120.75, 1119.7, 1145.85, 1168.47, 1169.16, 1143.44, 11820.18, 11866.63, 11947.13, 12.1501, 12.3533, 6291.39, 6291.39, 749.24, 745.15, 2.1318, 2.172, 2.1074, 4.053999999999999, 92.43, 18.243, 18.7, 537.88, 574.25, 520.88, 5.71, 5.71, 2588.84, 2562.36
2010-01-14, 1685.77, 3.61, 3.61, 1.4512, 1.4584, 1.4456, 338.18, 5473.5, 12.198, 164.43, 164.01, 165.6, 163.72, 5.733, 70385.47, 70626.26, 3.0060000000000002, 3.0060000000000002, 1535.78, 1512.81, 1435.01, 1412.9, 3.966, 5233.95, 5212.6, 5239.2, 1145.68, 1137.31, 1148.4, 1133.18, 3.388, 3.312, 3.312, 3172.66, 3204.98, 3232.82, 1629.53, 1640.88, 1617.79, 2289.46, 2313.03, 144.13, 3.534, 3.534, 3.793, 1102.93, 1099.58, 1110.18, 1096.52, 1.0391, 1.0413, 1.029, 3.303, 3.303, 70969.0, 70830.0, 70040.0, 24.8728, 24.4435, 79.65, 80.06, 78.37, 32836.08, 32792.87, 10795.48, 10866.62, 10729.86, 5.33, 5.33, 6554.55, 6508.21, 6507.86, 10680.77, 10628.09, 10747.12, 10569.07, 969.49, 964.35, 1038.05, 1028.69, 0.8959, 0.889, 78.49, 79.09, 77.04, 1810.32, 637.15, 644.79, 639.16, 641.07, 649.01, 635.85, 1136.4, 1128.1, 11958.3, 11923.0, 12027.2, 11909.6, 1.6288, 1.6162, 1.6309, 1.6136, 384.0, 385.25, 368.0, 23658.4, 23485.92, 23462.36, 2657.9, 2623.46, 3.9560000000000004, 0.7381, 0.7425, 3536.71, 3494.62, 1.345, 1.34, 1077.99, 1123.0, 1120.75, 1151.9, 1144.87, 1153.11, 1144.34, 11853.56, 11802.81, 11865.19, 12.3077, 12.4166, 6266.26, 6304.05, 746.74, 741.4, 2.0946, 2.115, 2.06, 4.0889999999999995, 91.55, 18.538, 18.36, 535.13, 537.88, 519.63, 5.605, 5.605, 2560.36, 2557.91
2010-01-15, 1701.8, 3.554, 3.554, 1.4503, 1.4556, 1.4446, 340.61, 5498.2, 12.222, 164.5, 164.28, 164.62, 163.7, 5.587999999999999, 69801.41, 70508.2, 3.0460000000000003, 3.0460000000000003, 1538.37, 1538.22, 1455.65, 1435.01, 3.9810000000000003, 5259.9, 5234.5, 5272.85, 1148.46, 1145.68, 1150.41, 1143.8, 3.3760000000000003, 3.4139999999999997, 3.378, 3215.55, 3183.38, 3219.02, 1629.03, 1633.55, 1620.79, 2303.31, 2322.56, 144.13, 3.54, 3.54, 3.742, 1102.87, 1101.84, 1105.07, 1095.17, 1.0305, 1.0324, 1.0223, 3.295, 3.295, 70399.0, 71000.0, 70250.0, 24.7343, 24.51, 79.39, 79.63, 78.92, 32729.58, 32843.56, 10778.07, 10909.94, 10774.25, 5.35, 5.35, 6627.42, 6588.75, 6573.64, 10710.55, 10680.16, 10767.15, 10619.02, 975.61, 975.61, 1045.91, 1032.6, 0.8909, 0.8862, 78.55, 78.98, 77.49, 1826.84, 643.56, 647.87, 638.61, 638.41, 641.1, 630.73, 1142.6, 1137.0, 11999.8, 12049.1, 12050.4, 11902.3, 1.6333, 1.6283, 1.6348, 1.6248, 381.0, 382.75, 376.5, 23805.99, 23830.87, 23692.61, 2661.93, 2633.58, 3.987, 0.7401, 0.7444, 3549.925, 3515.78, 1.338, 1.347, 1088.58, 1123.0, 1122.5, 1146.95, 1160.05, 1161.08, 1144.37, 11804.38, 11873.62, 11888.33, 12.2717, 12.3636, 6308.723333333332, 6344.26, 751.93, 747.94, 2.0829, 2.0985, 2.0649, 4.1, 92.04, 18.643, 18.57, 527.13, 534.88, 526.13, 5.6679999999999975, 5.6679999999999975, 2582.5, 2565.07
