@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute CANADA_10_YEAR_High numeric
@attribute CANADA_10_YEAR_Low numeric
@attribute EUR_USD_Now numeric
@attribute EUR_USD_Open numeric
@attribute AEX_Now numeric
@attribute AEX_Open numeric
@attribute AEX_High numeric
@attribute AEX_Low numeric
@attribute FTSE_Now_x numeric
@attribute FTSE_High_x numeric
@attribute IDR_KRW_Open numeric
@attribute IDR_KRW_High numeric
@attribute IDR_KRW_Low numeric
@attribute CNY_KRW_Open numeric
@attribute CNY_KRW_Low numeric
@attribute GAS_Now numeric
@attribute GAS_High numeric
@attribute Brazil_Now numeric
@attribute Brazil_Open numeric
@attribute Brazil_High numeric
@attribute Brazil_Low numeric
@attribute HONH_KONG_10_YEAR_Now numeric
@attribute HONH_KONG_10_YEAR_Open numeric
@attribute HONH_KONG_10_YEAR_High numeric
@attribute HONH_KONG_10_YEAR_Low numeric
@attribute DAX_Now numeric
@attribute DAX_High numeric
@attribute RTSI_Now numeric
@attribute MOEX_Now numeric
@attribute MOEX_Open numeric
@attribute UK_10_YEAR_High numeric
@attribute Nifty_High numeric
@attribute Nifty_Low numeric
@attribute S&P_Open numeric
@attribute S&P_Low numeric
@attribute Copper_Open numeric
@attribute Copper_High numeric
@attribute SANGHAI_Open numeric
@attribute SANGHAI_High numeric
@attribute SANGHAI_Low numeric
@attribute EUR_KRW_Open numeric
@attribute EUR_KRW_High numeric
@attribute EUR_KRW_Low numeric
@attribute NASDAQ_Open numeric
@attribute NASDAQ_High numeric
@attribute HKD_KRW_Now numeric
@attribute HKD_KRW_Open numeric
@attribute FRANCE_10_YEAR_Now numeric
@attribute US_10_YEAR_Now numeric
@attribute US_10_YEAR_Open numeric
@attribute US_10_YEAR_High numeric
@attribute US_10_YEAR_Low numeric
@attribute CHF_KRW_Now numeric
@attribute CHF_KRW_Open numeric
@attribute CHF_KRW_Low numeric
@attribute USD_CAD_Now numeric
@attribute USD_CAD_Open numeric
@attribute GERMANY_10_YEAR_Open numeric
@attribute GERMANY_10_YEAR_High numeric
@attribute GERMANY_10_YEAR_Low numeric
@attribute INR_KRW_Open numeric
@attribute INR_KRW_Low numeric
@attribute WTI_Low numeric
@attribute S&P_BMV_Now numeric
@attribute S&P_BMV_Open numeric
@attribute NIKKEI_Now numeric
@attribute NIKKEI_Low numeric
@attribute SOUTH_KOREA_10_YEAR_Now numeric
@attribute SOUTH_KOREA_10_YEAR_High numeric
@attribute SMI_Now numeric
@attribute SMI_Open numeric
@attribute SMI_High numeric
@attribute SMI_Low numeric
@attribute DOWJONES_High numeric
@attribute US_COFFEE_Now numeric
@attribute US_COFFEE_Open numeric
@attribute US_COFFEE_Low numeric
@attribute OMXS_Low numeric
@attribute AUD_KRW_Now numeric
@attribute AUD_KRW_Open numeric
@attribute AUD_KRW_High numeric
@attribute AUD_KRW_Low numeric
@attribute BRENT_OIL_Now numeric
@attribute BRENT_OIL_Open numeric
@attribute BRENT_OIL_Low numeric
@attribute AUD_SGD_High numeric
@attribute AUD_SGD_Low numeric
@attribute Russell_Open numeric
@attribute Russell_High numeric
@attribute Russell_Low numeric
@attribute BRL_KRW_Now numeric
@attribute BRL_KRW_High numeric
@attribute BRL_KRW_Low numeric
@attribute Gold_High numeric
@attribute Gold_Low numeric
@attribute IBEX_Open numeric
@attribute IBEX_Low numeric
@attribute GBP_USD_Now numeric
@attribute GBP_USD_High numeric
@attribute GBP_USD_Low numeric
@attribute Corn_High numeric
@attribute Corn_Low numeric
@attribute FTSE_Now_y numeric
@attribute FTSE_Open_y numeric
@attribute FTSE_High_y numeric
@attribute FTSE_Low_y numeric
@attribute IDX_Open numeric
@attribute IDX_High numeric
@attribute SPAIN_10_YEAR_Now numeric
@attribute SPAIN_10_YEAR_Open numeric
@attribute SPAIN_10_YEAR_High numeric
@attribute SPAIN_10_YEAR_Low numeric
@attribute NZD_USD_Open numeric
@attribute NZD_USD_High numeric
@attribute NZD_USD_Low numeric
@attribute CSE_Open numeric
@attribute CSE_High numeric
@attribute CSE_Low numeric
@attribute JAPAN_10_YEAR_Now numeric
@attribute JAPAN_10_YEAR_Open numeric
@attribute JAPAN_10_YEAR_High numeric
@attribute CAD_KRW_Now numeric
@attribute CAD_KRW_Low numeric
@attribute USD_KRW_Open numeric
@attribute TA_Now numeric
@attribute TA_High numeric
@attribute TA_Low numeric
@attribute S&P_TSX_Now numeric
@attribute S&P_TSX_Open numeric
@attribute S&P_TSX_High numeric
@attribute Tadawul_High numeric
@attribute SET_Open numeric
@attribute SET_High numeric
@attribute SET_Low numeric
@attribute HEATING_OIL_Open numeric
@attribute ITALY_10_YEAR_Now numeric
@attribute ITALY_10_YEAR_Open numeric
@attribute USD_JPY_High numeric
@attribute Silver_Open numeric
@attribute US_WHEAT_Open numeric
@attribute US_WHEAT_High numeric
@attribute US_WHEAT_Low numeric
@attribute AUS_10_YEAR_Now numeric
@attribute BEL_Now numeric

@data
2013-01-02, 2031.1, 1.795, 1.765, 1.3216, 1.3236, 342.0, 345.37, 345.52, 341.67, 5925.37, 5975.97, 11.086, 11.128, 10.982, 171.9, 171.17, 3.469, 3.487, 60952.08, 60415.95, 61066.34, 60415.95, 0.6659999999999999, 0.6659999999999999, 0.6659999999999999, 0.6659999999999999, 7612.39, 7665.68, 1526.98, 1474.72, 1478.22, 1.828, 5915.75, 5879.5, 1418.1, 1401.58, 3.5989999999999998, 3.609, 2207.91, 2234.87, 2204.0, 1418.81, 1424.04, 1404.98, 2965.12, 2985.47, 137.725, 138.29, 1.992, 1.7009999999999998, 1.7009999999999998, 1.7009999999999998, 1.7009999999999998, 1169.25, 1173.52, 1161.99, 0.997, 0.9951, 1.324, 1.3259999999999998, 1.2919999999999998, 19.5088, 19.4354, 90.32, 43721.93, 43487.21, 10395.18, 10374.85, 3.15, 3.19, 6822.44, 6871.57, 6879.23, 6822.44, 13095.46, 146.85, 147.05, 145.6, 1104.69, 1106.83, 1112.0, 1113.69, 1105.66, 110.62, 111.24, 109.83, 1.2721, 1.2662, 837.39, 838.36, 832.08, 521.44, 526.25, 515.87, 1664.0, 1653.7, 8276.6, 8103.9, 1.617, 1.6172, 1.6079, 696.25, 688.75, 16273.38, 16449.75, 16484.81, 16273.38, 4298.93, 4324.93, 5.269, 5.313, 5.325, 5.267, 0.8206, 0.8227, 0.8179, 5570.2, 5607.13, 5565.85, 0.802, 0.799, 0.809, 1071.49, 1070.13, 1072.51, 1202.715, 1205.9499999999996, 1191.435, 12316.12, 12316.99, 12371.22, 6916.74, 1401.91, 1402.86, 1391.85, 3.0799, 4.508, 4.57, 86.63, 30.2, 777.0, 784.38, 767.13, 3.338, 2466.27
2013-01-03, 2019.41, 1.909, 1.798, 1.3186, 1.3205, 350.21, 348.53, 350.77, 347.01, 6027.37, 6044.57, 11.050999999999998, 11.062, 10.96, 171.08, 170.63, 3.233, 3.358, 62550.1, 60990.34, 62886.96, 60990.34, 0.74, 0.672, 0.74, 0.672, 7778.78, 7789.94, 1536.8039999999999, 1482.74, 1477.5220000000006, 1.9909999999999999, 6006.05, 5982.0, 1426.19, 1426.19, 3.64, 3.745, 2235.11, 2255.2833333333333, 2221.52, 1403.48, 1416.2, 1398.77, 3091.33, 3112.65, 137.21, 137.17, 2.082, 1.835, 1.835, 1.835, 1.835, 1158.62, 1160.87, 1155.51, 0.9849, 0.993, 1.3719999999999999, 1.4509999999999998, 1.371, 19.4384, 19.4384, 91.56, 44304.17, 43703.98, 10492.823333333334, 10450.646666666667, 3.18, 3.21, 6921.45, 6923.365, 6949.8449999999975, 6896.62, 13412.71, 149.4, 145.0, 144.95, 1116.62, 1116.36, 1105.24, 1119.43, 1102.79, 112.47, 111.5, 111.27, 1.2845, 1.2666, 849.33, 873.99, 849.33, 519.99, 523.39, 518.71, 1693.8, 1670.0, 8337.9, 8286.7, 1.6256, 1.6381, 1.6224, 707.25, 687.75, 16893.39, 16583.43, 16893.39, 16573.07, 4322.58, 4364.66, 5.04, 5.22, 5.22, 5.029, 0.8274, 0.8394, 0.826, 5642.87, 5684.26, 5632.97, 0.8123333333333334, 0.7983333333333333, 0.8186666666666667, 1079.47, 1068.8, 1066.1, 1221.31, 1223.53, 1217.13, 12540.77, 12571.76, 12588.75, 6941.21, 1401.39, 1411.58, 1400.95, 3.0329, 4.276, 4.437, 87.34, 30.63, 786.88, 787.38, 752.63, 3.408, 2515.27
2013-01-04, 2011.94, 1.935, 1.86, 1.3048, 1.3187, 350.74, 350.43, 351.06, 349.34, 6047.34, 6051.3, 11.013, 11.04, 10.963, 170.66, 170.28, 3.198, 3.236, 63312.46, 62555.04, 63472.55, 62341.48, 0.746, 0.762, 0.772, 0.735, 7756.44, 7777.02, 1546.628, 1490.76, 1476.8239999999994, 2.074, 6017.0, 5986.55, 1462.42, 1455.53, 3.719, 3.7319999999999998, 2262.31, 2275.6966666666667, 2239.04, 1401.54, 1404.3, 1386.83, 3108.49, 3118.18, 137.175, 137.18, 2.123, 1.911, 1.911, 1.911, 1.911, 1147.3, 1158.28, 1146.41, 0.9879, 0.9849, 1.446, 1.484, 1.429, 19.5567, 19.4404, 92.49, 44370.64, 44304.21, 10590.466666666667, 10526.443333333333, 3.13, 3.2, 7020.46, 6975.16, 7020.46, 6970.8, 13430.6, 146.5, 148.6, 145.45, 1126.1, 1112.26, 1116.36, 1119.05, 1111.42, 112.14, 112.2, 111.63, 1.2865, 1.2792, 873.83, 878.43, 870.76, 519.67, 522.84, 517.86, 1686.8, 1662.0, 8375.0, 8334.3, 1.6107, 1.6257, 1.609, 694.75, 685.0, 16909.83, 16866.61, 16915.36, 16781.97, 4356.41, 4401.33, 5.0310000000000015, 5.044, 5.069, 5.019, 0.8338, 0.8353, 0.8269, 5685.07, 5739.21, 5683.79, 0.8226666666666667, 0.7976666666666667, 0.8283333333333334, 1076.06, 1075.1, 1063.55, 1210.62, 1217.45, 1207.13, 12470.44, 12539.14, 12540.58, 6966.71, 1411.56, 1415.81, 1404.99, 3.042, 4.249, 4.29, 87.36, 30.775, 758.75, 761.13, 750.25, 3.388, 2516.85
2013-01-07, 2011.25, 1.9880000000000002, 1.9269999999999998, 1.3069, 1.3048, 351.73, 349.98, 351.8, 349.63, 6089.84, 6089.84, 10.998, 11.027, 10.979, 170.6, 170.45, 3.287, 3.299, 62523.06, 63314.22, 63314.22, 62414.98, 0.847, 0.858, 0.858, 0.804, 7776.37, 7779.67, 1556.4520000000002, 1498.78, 1476.126, 2.1390000000000002, 6020.75, 5981.55, 1459.37, 1458.99, 3.6839999999999997, 3.69, 2289.51, 2296.11, 2256.56, 1387.26, 1390.62, 1382.62, 3100.88, 3108.44, 137.075, 137.14, 2.146, 1.903, 1.903, 1.903, 1.903, 1149.28, 1146.9, 1143.13, 0.9871, 0.9879, 1.505, 1.564, 1.4880000000000002, 19.4965, 19.2735, 91.52, 44562.33, 44374.97, 10688.11, 10602.24, 3.12, 3.16, 7058.92, 7015.48, 7059.12, 7004.58, 13447.11, 147.35, 145.4, 142.6, 1126.38, 1113.6, 1112.7, 1114.24, 1105.5, 111.31, 111.72, 110.38, 1.287, 1.2778, 872.69, 880.47, 872.69, 522.12, 522.95, 518.62, 1658.3, 1625.7, 8411.7, 8386.7, 1.6071, 1.6109, 1.6008, 692.25, 679.5, 16959.78, 16897.97, 16970.16, 16795.66, 4406.93, 4418.48, 5.058, 5.022, 5.0680000000000005, 5.012, 0.828, 0.8323, 0.8211, 5731.72, 5747.71, 5726.31, 0.833, 0.797, 0.838, 1076.43, 1071.73, 1063.2, 1208.6999999999996, 1215.955, 1206.27, 12540.81, 12435.12, 12540.81, 6992.21, 1405.48, 1416.67, 1399.97, 3.0225, 4.2669999999999995, 4.242, 88.4, 29.435, 754.38, 757.63, 739.88, 3.45, 2516.32
2013-01-08, 1997.94, 1.9669999999999999, 1.922, 1.3117, 1.3072, 351.24, 351.75, 352.3, 350.62, 6064.58, 6091.5, 10.99, 11.028, 10.853, 170.47, 170.16, 3.266, 3.352, 61932.54, 62523.06, 62698.87, 61639.34, 0.807, 0.804, 0.81, 0.804, 7732.66, 7767.55, 1566.2759999999994, 1506.8, 1475.4279999999999, 2.1109999999999998, 6042.15, 5977.15, 1466.47, 1456.62, 3.685, 3.685, 2271.66, 2293.32, 2266.86, 1388.96, 1394.88, 1383.64, 3089.17, 3102.35, 137.14, 137.03, 2.113, 1.901, 1.901, 1.901, 1.901, 1153.39, 1149.13, 1144.53, 0.9857, 0.9867, 1.5330000000000001, 1.544, 1.508, 19.3292, 19.2114, 92.42, 44625.93, 44572.67, 10599.01, 10589.7, 3.11, 3.14, 7049.3, 7062.4, 7073.13, 7049.2, 13436.13, 150.4, 147.35, 146.6, 1130.13, 1116.32, 1113.02, 1117.86, 1111.51, 111.4, 111.42, 110.54, 1.2935, 1.2844, 876.34, 879.15, 873.74, 524.47, 525.3, 520.86, 1659.9, 1643.8, 8434.3, 8406.3, 1.6114, 1.6119, 1.6021, 690.0, 678.0, 16895.66, 16992.99, 17103.12, 16873.44, 4407.73, 4427.65, 5.099, 5.074, 5.105, 5.066, 0.8307, 0.8376, 0.8284, 5750.87, 5767.24, 5731.27, 0.8340000000000001, 0.8420000000000001, 0.848, 1078.33, 1073.79, 1062.39, 1206.78, 1214.46, 1205.41, 12499.55, 12503.24, 12540.81, 7017.71, 1423.27, 1425.26, 1415.32, 3.0185, 4.3469999999999995, 4.283, 88.37, 30.395, 748.13, 760.25, 743.63, 3.4530000000000003, 2503.12
2013-01-09, 1991.81, 1.949, 1.902, 1.3083, 1.3116, 349.11, 350.08, 351.58, 349.06, 6053.63, 6088.18, 10.987, 11.0075, 10.853, 170.63, 170.52, 3.218, 3.281, 61127.84, 61932.87, 62264.99, 61080.92, 0.815, 0.821, 0.831, 0.81, 7695.83, 7754.38, 1576.1, 1514.82, 1474.73, 2.092, 6007.05, 5964.4, 1461.89, 1451.64, 3.662, 3.6630000000000003, 2284.65, 2289.14, 2262.98, 1394.28, 1397.01, 1387.21, 3098.46, 3103.39, 137.295, 137.13, 2.1069999999999998, 1.864, 1.864, 1.864, 1.864, 1151.93, 1153.64, 1147.47, 0.9867, 0.9861, 1.5030000000000001, 1.5219999999999998, 1.482, 19.2426, 19.1911, 92.67, 44571.2, 44631.93, 10508.06, 10463.43, 3.04, 3.1, 7074.52, 7051.37, 7088.53, 7046.25, 13377.42, 148.15, 149.3, 145.65, 1124.32, 1117.73, 1116.21, 1118.75, 1112.44, 111.94, 111.42, 111.12, 1.2927, 1.2865, 875.77, 876.32, 871.01, 521.25, 525.84, 520.82, 1659.5, 1647.7, 8388.2, 8374.7, 1.6056, 1.6130000000000002, 1.6029, 694.5, 683.75, 16951.14, 16850.59, 17082.0, 16815.41, 4394.76, 4413.94, 5.075, 5.119, 5.122999999999998, 5.063, 0.8370000000000001, 0.8381, 0.8333, 5746.28, 5752.66, 5719.68, 0.835, 0.84, 0.845, 1078.55, 1074.35, 1063.16, 1203.97, 1209.36, 1201.29, 12504.81, 12490.37, 12504.81, 7055.94, 1415.08, 1421.62, 1408.08, 3.0401, 4.288, 4.3610000000000015, 87.82, 30.255, 752.13, 759.13, 749.63, 3.432, 2497.62
2013-01-10, 2006.8, 1.9340000000000002, 1.891, 1.3064, 1.3081, 350.0, 350.53, 350.76, 348.84, 6098.65, 6112.27, 10.991, 11.0045, 10.88, 170.93, 170.22, 3.113, 3.227, 61578.58, 61128.79, 61811.77, 61102.69, 0.858, 0.81, 0.88, 0.794, 7720.47, 7734.78, 1568.59, 1516.01, 1514.82, 2.053, 6020.1, 5958.45, 1457.15, 1457.15, 3.6830000000000003, 3.6919999999999997, 2271.3, 2283.9, 2259.05, 1391.54, 1392.7, 1381.78, 3099.65, 3111.22, 136.79, 137.26, 2.1069999999999998, 1.86, 1.86, 1.86, 1.86, 1146.31, 1150.96, 1142.79, 0.9877, 0.9867, 1.505, 1.5130000000000001, 1.462, 19.3428, 19.2649, 92.68, 44862.54, 44576.86, 10578.57, 10398.61, 3.04, 3.06, 7151.6, 7097.81, 7152.64, 7094.95, 13416.55, 147.9, 146.6, 145.95, 1118.98, 1115.38, 1116.83, 1119.48, 1112.52, 111.76, 111.9, 111.11, 1.293, 1.2873, 877.45, 879.54, 874.7, 520.33, 521.25, 518.49, 1662.1, 1651.2, 8491.8, 8485.4, 1.6023, 1.6077, 1.5991, 696.0, 686.5, 17326.27, 17038.97, 17326.27, 17035.13, 4404.34, 4411.77, 5.127999999999999, 5.07, 5.159, 5.059, 0.8363, 0.8409, 0.8347, 5753.25, 5757.11, 5742.11, 0.831, 0.8220000000000001, 0.8340000000000001, 1073.71, 1072.91, 1064.3, 1210.26, 1210.26, 1204.96, 12522.24, 12508.13, 12528.86, 7136.64, 1422.83, 1428.98, 1421.63, 3.0591, 4.274, 4.275, 88.01, 30.095, 751.0, 756.88, 745.13, 3.412, 2506.39
2013-01-11, 1996.67, 1.9580000000000002, 1.91, 1.3271, 1.3065, 350.69, 350.91, 352.33, 349.75, 6101.51, 6118.3, 10.965, 11.0055, 10.868, 170.29, 169.99, 3.193, 3.2110000000000003, 61678.31, 61578.02, 61947.2, 61156.05, 0.8640000000000001, 0.853, 0.8640000000000001, 0.853, 7708.47, 7773.69, 1572.0, 1507.16, 1516.01, 2.112, 6005.15, 5947.3, 1464.64, 1461.02, 3.657, 3.7, 2274.38, 2295.48, 2268.65, 1385.07, 1404.53, 1382.45, 3125.64, 3127.72, 136.57, 136.77, 2.136, 1.899, 1.899, 1.899, 1.899, 1157.03, 1145.78, 1143.35, 0.9832, 0.9875, 1.482, 1.57, 1.4709999999999999, 19.3609, 19.3291, 93.08, 44859.8, 44871.87, 10652.64, 10619.65, 3.01, 3.04, 7143.73, 7163.12, 7175.09, 7139.24, 13478.2, 149.65, 148.2, 147.7, 1125.4, 1121.35, 1114.69, 1121.98, 1112.89, 111.89, 111.68, 111.6, 1.2971, 1.2878, 879.49, 883.19, 876.58, 521.73, 521.95, 518.41, 1673.8, 1672.5, 8607.3, 8548.4, 1.6168, 1.617, 1.6004, 700.5, 694.5, 17451.07, 17398.38, 17561.79, 17231.67, 4368.76, 4377.14, 4.915, 5.148, 5.178999999999999, 4.904, 0.8395, 0.8458, 0.8375, 5747.07, 5749.14, 5732.21, 0.83, 0.823, 0.835, 1075.29, 1071.72, 1060.65, 1224.11, 1224.3, 1206.68, 12599.74, 12571.95, 12618.43, 7130.236666666668, 1426.73, 1429.21, 1404.12, 3.0762, 4.172, 4.28, 88.78, 30.76, 749.75, 756.13, 744.13, 3.45, 2505.27
2013-01-14, 2007.04, 1.975, 1.936, 1.3344, 1.3272, 350.13, 351.33, 351.74, 349.27, 6121.58, 6121.58, 10.943, 10.967, 10.783, 170.01, 169.41, 3.327, 3.341, 61497.43, 61661.87, 61682.83, 61198.0, 0.907, 0.8909999999999999, 0.951, 0.8420000000000001, 7715.53, 7731.45, 1571.73, 1510.84, 1507.16, 2.123, 6018.85, 5940.6, 1472.12, 1467.58, 3.6710000000000003, 3.675, 2285.19, 2290.2, 2234.95, 1403.29, 1411.81, 1397.09, 3122.12, 3126.59, 136.29, 136.54, 2.1630000000000003, 1.8659999999999999, 1.8659999999999999, 1.8659999999999999, 1.8659999999999999, 1156.66, 1156.44, 1148.61, 0.9848, 0.9829, 1.564, 1.6119999999999999, 1.551, 19.4383, 19.2261, 92.65, 44888.13, 44864.45, 10801.57, 10748.06, 3.04, 3.09, 7188.22, 7175.33, 7194.33, 7155.28, 13496.68, 153.35, 149.2, 148.85, 1126.66, 1113.22, 1120.6, 1122.08, 1111.39, 110.64, 111.95, 109.6, 1.2963, 1.2888, 881.21, 882.62, 877.44, 519.61, 521.86, 517.26, 1673.1, 1654.2, 8638.0, 8580.0, 1.6132, 1.6179, 1.609, 723.75, 686.25, 17502.39, 17529.34, 17550.31, 17334.43, 4325.24, 4341.76, 4.883, 4.905, 4.922, 4.843999999999999, 0.8454, 0.846, 0.8359, 5731.1, 5750.53, 5730.54, 0.8220000000000001, 0.825, 0.847, 1073.18, 1071.09, 1058.67, 1221.7199999999998, 1225.03, 1211.575, 12602.18, 12600.9, 12603.15, 7123.833333333334, 1407.12, 1412.06, 1392.61, 3.0543, 4.117, 4.154, 89.44, 30.78, 745.88, 771.75, 736.38, 3.485, 2496.8
2013-01-15, 1983.74, 1.956, 1.9240000000000002, 1.3383, 1.334, 347.34, 351.71, 351.71, 346.58, 6107.86, 6134.17, 10.955, 10.968, 10.904000000000002, 169.87, 169.73, 3.373, 3.411, 62080.79, 61511.35, 62284.76, 61511.35, 0.8590000000000001, 0.897, 0.897, 0.8590000000000001, 7729.52, 7785.82, 1590.21, 1528.48, 1510.84, 2.059, 6036.9, 5962.15, 1472.05, 1465.69, 3.6630000000000003, 3.674, 2236.29, 2317.62, 2235.11, 1411.08, 1416.24, 1408.05, 3113.65, 3123.48, 136.255, 136.22, 2.14, 1.848, 1.848, 1.848, 1.848, 1145.9, 1156.92, 1143.78, 0.9838, 0.9841, 1.5719999999999998, 1.574, 1.5330000000000001, 19.2392, 19.2392, 92.95, 44862.92, 44900.12, 10840.325, 10799.86, 3.04, 3.04, 7202.52, 7212.57, 7230.77, 7187.53, 13520.18, 153.3, 152.95, 152.5, 1130.78, 1115.87, 1114.23, 1117.76, 1110.49, 111.88, 110.62, 110.31, 1.2973, 1.2889, 879.71, 880.98, 877.56, 519.87, 520.5, 518.41, 1673.8, 1664.1, 8699.2, 8601.3, 1.6078, 1.6156, 1.6032, 726.75, 713.0, 17391.24, 17576.25, 17683.92, 17270.49, 4322.14, 4382.5, 5.045, 4.9239999999999995, 5.066, 4.923, 0.8370000000000001, 0.8440000000000001, 0.8359, 5733.675, 5753.585, 5733.395, 0.8009999999999999, 0.8195, 0.8320000000000001, 1073.74, 1069.76, 1056.54, 1219.33, 1225.76, 1216.47, 12603.09, 12627.41, 12636.68, 7117.43, 1417.16, 1426.22, 1414.03, 3.0065, 4.188, 4.154, 89.67, 30.62, 767.63, 776.63, 763.5, 3.47, 2491.38
