@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute CANADA_10_YEAR_Now numeric
@attribute CANADA_10_YEAR_Open numeric
@attribute CANADA_10_YEAR_High numeric
@attribute EUR_USD_Now numeric
@attribute EUR_USD_High numeric
@attribute EUR_USD_Low numeric
@attribute AEX_Open numeric
@attribute AEX_High numeric
@attribute FTSE_Now_x numeric
@attribute FTSE_Open_x numeric
@attribute FTSE_High_x numeric
@attribute IDR_KRW_Now numeric
@attribute IDR_KRW_Low numeric
@attribute CNY_KRW_High numeric
@attribute GAS_Open numeric
@attribute GAS_High numeric
@attribute GAS_Low numeric
@attribute Brazil_Open numeric
@attribute Brazil_Low numeric
@attribute HONH_KONG_10_YEAR_Now numeric
@attribute HONH_KONG_10_YEAR_Open numeric
@attribute HONH_KONG_10_YEAR_Low numeric
@attribute DAX_Now numeric
@attribute DAX_Open numeric
@attribute DAX_High numeric
@attribute DAX_Low numeric
@attribute RTSI_Open numeric
@attribute RTSI_Low numeric
@attribute MOEX_Now numeric
@attribute MOEX_Open numeric
@attribute MOEX_High numeric
@attribute UK_10_YEAR_Now numeric
@attribute UK_10_YEAR_Open numeric
@attribute UK_10_YEAR_High numeric
@attribute Nifty_Now numeric
@attribute Nifty_Open numeric
@attribute Nifty_High numeric
@attribute S&P_Now numeric
@attribute S&P_Open numeric
@attribute S&P_Low numeric
@attribute Copper_Now numeric
@attribute Copper_Open numeric
@attribute Copper_High numeric
@attribute Copper_Low numeric
@attribute SANGHAI_Now numeric
@attribute SANGHAI_High numeric
@attribute SANGHAI_Low numeric
@attribute EUR_KRW_Now numeric
@attribute EUR_KRW_High numeric
@attribute EUR_KRW_Low numeric
@attribute NASDAQ_Now numeric
@attribute NASDAQ_Open numeric
@attribute NASDAQ_High numeric
@attribute NASDAQ_Low numeric
@attribute HKD_KRW_Now numeric
@attribute HKD_KRW_Open numeric
@attribute HKD_KRW_Low numeric
@attribute FRANCE_10_YEAR_Low numeric
@attribute US_10_YEAR_Now numeric
@attribute US_10_YEAR_High numeric
@attribute CHF_KRW_Now numeric
@attribute CHF_KRW_Open numeric
@attribute CHF_KRW_High numeric
@attribute CHF_KRW_Low numeric
@attribute USD_CAD_Now numeric
@attribute USD_CAD_High numeric
@attribute USD_CAD_Low numeric
@attribute GERMANY_10_YEAR_Now numeric
@attribute GERMANY_10_YEAR_Open numeric
@attribute GERMANY_10_YEAR_Low numeric
@attribute iBovespa_Now numeric
@attribute iBovespa_Open numeric
@attribute INR_KRW_Open numeric
@attribute INR_KRW_High numeric
@attribute INR_KRW_Low numeric
@attribute WTI_High numeric
@attribute WTI_Low numeric
@attribute S&P_BMV_Open numeric
@attribute S&P_BMV_High numeric
@attribute NIKKEI_Open numeric
@attribute NIKKEI_Low numeric
@attribute SOUTH_KOREA_10_YEAR_Open numeric
@attribute SMI_Now numeric
@attribute SMI_Open numeric
@attribute SMI_High numeric
@attribute SMI_Low numeric
@attribute DOWJONES_Now numeric
@attribute DOWJONES_Open numeric
@attribute DOWJONES_Low numeric
@attribute US_COFFEE_Now numeric
@attribute OMXS_Open numeric
@attribute OMXS_High numeric
@attribute AUD_KRW_Open numeric
@attribute AUD_KRW_High numeric
@attribute EUR_GBP_Open numeric
@attribute EUR_GBP_High numeric
@attribute EUR_GBP_Low numeric
@attribute BRENT_OIL_High numeric
@attribute GBP_KRW_High numeric
@attribute AUD_SGD_Now numeric
@attribute AUD_SGD_High numeric
@attribute AUD_SGD_Low numeric
@attribute Russell_Now numeric
@attribute Russell_Low numeric
@attribute BRL_KRW_Now numeric
@attribute BRL_KRW_Open numeric
@attribute Gold_High numeric
@attribute IBEX_Now numeric
@attribute IBEX_High numeric
@attribute IBEX_Low numeric
@attribute GBP_USD_Now numeric
@attribute GBP_USD_Open numeric
@attribute GBP_USD_High numeric
@attribute GBP_USD_Low numeric
@attribute FTSE_Open_y numeric
@attribute FTSE_High_y numeric
@attribute IDX_Open numeric
@attribute IDX_High numeric
@attribute SPAIN_10_YEAR_Open numeric
@attribute SPAIN_10_YEAR_High numeric
@attribute SPAIN_10_YEAR_Low numeric
@attribute NZD_USD_Now numeric
@attribute NZD_USD_High numeric
@attribute NZD_USD_Low numeric
@attribute CSE_Now numeric
@attribute CSE_High numeric
@attribute CSE_Low numeric
@attribute JAPAN_10_YEAR_Now numeric
@attribute JAPAN_10_YEAR_High numeric
@attribute JAPAN_10_YEAR_Low numeric
@attribute CAD_KRW_Now numeric
@attribute CAD_KRW_High numeric
@attribute CAD_KRW_Low numeric
@attribute USD_KRW_Now numeric
@attribute TA_Now numeric
@attribute TA_Low numeric
@attribute S&P_TSX_High numeric
@attribute JPY_KRW_Now numeric
@attribute JPY_KRW_Open numeric
@attribute JPY_KRW_High numeric
@attribute Tadawul_High numeric
@attribute Tadawul_Low numeric
@attribute SET_Open numeric
@attribute SET_High numeric
@attribute SET_Low numeric
@attribute HEATING_OIL_Now numeric
@attribute HEATING_OIL_Open numeric
@attribute ITALY_10_YEAR_Open numeric
@attribute ITALY_10_YEAR_High numeric
@attribute USD_JPY_Open numeric
@attribute USD_JPY_Low numeric
@attribute Silver_Now numeric
@attribute US_WHEAT_Now numeric
@attribute US_WHEAT_Open numeric
@attribute US_WHEAT_High numeric
@attribute US_WHEAT_Low numeric
@attribute AUS_10_YEAR_Open numeric
@attribute BEL_Open numeric
@attribute BEL_Low numeric

@data
2009-01-02, 1157.4, 2.66, 2.66, 2.66, 1.4072, 1.4223, 1.3918, 243.56, 246.58, 4392.7, 4319.4, 4406.1, 11.503, 11.116, 185.06, 6.065, 6.18, 5.789, 37069.56, 37064.77, 1.395, 1.395, 1.395, 4810.2, 4754.22, 4810.41, 4754.22, 642.83, 625.42, 617.83, 613.78, 621.26, 3.1010000000000004, 3.1010000000000004, 3.1010000000000004, 2979.5, 2922.55, 2999.15, 890.64, 870.58, 870.58, 1.307, 1.275, 1.308, 1.275, 1832.91, 1862.94, 1826.98, 1772.12, 1791.23, 1746.86, 1550.7, 1521.18, 1550.7, 1517.26, 162.525, 162.82, 160.62, 3.4139999999999997, 2.056, 2.056, 1190.45, 1189.67, 1201.44, 1176.64, 1.2202, 1.2343, 1.2142, 2.949, 2.949, 2.949, 38217.0, 38000.0, 25.7737, 26.298, 25.7551, 40.39, 37.93, 22398.76, 22516.74, 8716.28, 8702.95, 4.335000000000001, 5534.53, 5528.69, 5582.12, 5513.85, 8668.39, 8487.51, 8463.7, 107.55, 657.27, 666.76, 865.86, 875.74, 0.9655, 0.9805, 0.9652, 40.88, 1835.97, 0.994, 1.002, 0.9891, 482.77, 468.23, 540.46, 528.67, 878.1, 9195.8, 9195.8, 9068.1, 1.4438, 1.4436, 1.4552, 1.4383, 19290.0, 19460.0, 1345.28, 1361.86, 3.79, 3.79, 3.79, 0.5783, 0.5831, 0.575, 1484.53, 1496.51, 1476.56, 1.175, 1.2, 1.16, 1031.57, 1038.11, 1018.72, 1259.55, 641.19, 634.0, 8833.26, 13.9516, 13.9186, 14.0134, 4798.92, 4689.46, 448.41, 452.49, 446.86, 1.288, 1.2833, 4.379, 4.379, 90.68, 90.03, 10.955, 604.75, 590.25, 607.0, 584.75, 4.013, 1898.55, 1886.47
2009-01-05, 1173.57, 2.8289999999999997, 2.8289999999999997, 2.8289999999999997, 1.3879, 1.4058, 1.384, 248.97, 258.23, 4561.8, 4434.2, 4561.8, 12.12, 11.829, 195.72, 5.55, 6.087999999999999, 5.502999999999999, 37550.31, 37550.31, 1.433, 1.433, 1.433, 4973.07, 4856.85, 4974.73, 4838.49, 640.5471428571431, 624.7728571428571, 622.8942857142857, 616.8685714285714, 627.0114285714286, 3.043, 3.043, 3.043, 3046.75, 3034.6, 3079.85, 931.8, 902.99, 899.35, 1.444, 1.442, 1.442, 1.442, 1856.815, 1871.83, 1835.535, 1833.55, 1868.71, 1762.38, 1632.21, 1578.87, 1636.03, 1571.98, 170.44, 162.82, 162.77, 3.392, 2.3609999999999998, 2.3609999999999998, 1219.82, 1184.2, 1253.98, 1181.21, 1.2151, 1.2277, 1.2066, 2.951, 2.951, 2.951, 40879.0, 38545.0, 26.0045, 27.6256, 25.9992, 46.74, 41.05, 22380.32, 23302.06, 8853.744999999999, 8845.155, 4.23, 5533.6, 5528.7, 5582.1, 5513.9, 9034.69, 8772.25, 8725.1, 110.9, 662.33, 695.72, 889.96, 938.89, 0.9577, 0.9652, 0.9433, 47.33, 1967.94, 1.0378, 1.0378, 1.0045, 505.84, 494.74, 568.91, 566.73, 881.5, 9486.3, 9486.3, 9219.1, 1.4526, 1.4704, 1.4796, 1.4376, 19704.0, 19953.0, 1361.365, 1400.03, 3.8110000000000004, 3.8110000000000004, 3.8110000000000004, 0.5873, 0.5873, 0.5757, 1578.46, 1596.41, 1500.46, 1.1925, 1.205, 1.1725, 1086.71, 1096.36, 1031.13, 1321.0, 660.57, 652.3199999999998, 9235.18, 14.323, 13.9063, 14.7222, 5006.615, 4862.31, 454.4, 465.59, 453.215, 1.4803, 1.426, 4.314, 4.314, 90.68, 90.68, 11.465, 611.0, 606.25, 615.0, 592.0, 3.955, 1941.03, 1924.31
2009-01-06, 1194.28, 2.892, 2.892, 2.892, 1.3605, 1.3965, 1.3546, 261.25, 262.2, 4579.6, 4561.8, 4618.1, 12.037, 11.738, 194.19, 5.93, 6.142, 5.825, 40243.4, 39525.7, 1.492, 1.492, 1.492, 4983.99, 5010.18, 5034.85, 4949.36, 638.2642857142857, 624.1257142857143, 627.9585714285714, 619.9571428571427, 632.7628571428571, 3.1489999999999996, 3.1489999999999996, 3.1489999999999996, 3121.45, 3058.75, 3131.95, 927.45, 929.17, 919.53, 1.442, 1.421, 1.446, 1.415, 1880.72, 1880.72, 1844.09, 1789.32, 1855.21, 1773.96, 1628.03, 1621.48, 1640.46, 1604.63, 169.645, 169.83, 167.03, 3.47, 2.485, 2.485, 1184.79, 1218.3, 1240.56, 1177.16, 1.1888, 1.2226, 1.1869, 3.016, 3.016, 3.016, 42378.0, 41050.0, 27.4938, 27.6233, 26.8678, 49.28, 45.56, 23250.96, 23483.54, 8991.21, 8987.36, 4.22, 5756.09, 5734.13, 5772.73, 5696.36, 8952.89, 9027.13, 8841.7, 107.7, 693.78, 704.23, 936.43, 951.11, 0.9562, 0.9636, 0.9225, 50.05, 1944.99, 1.0557, 1.0585, 1.0318, 505.03, 496.01, 587.98, 564.83, 883.5, 9644.1, 9644.1, 9506.3, 1.47, 1.4527, 1.474, 1.4429, 20160.0, 20262.0, 1377.45, 1438.2, 3.846, 3.846, 3.846, 0.5887, 0.5921, 0.5808, 1560.97, 1624.23, 1555.64, 1.21, 1.21, 1.185, 1105.04, 1111.52, 1068.05, 1315.0, 679.95, 670.64, 9372.92, 14.083, 14.3051, 14.4313, 5214.31, 5035.16, 460.39, 478.69, 459.57, 1.5763, 1.484, 4.329, 4.329, 92.1, 91.82, 11.245, 616.75, 613.0, 619.5, 596.25, 4.26, 2003.17, 1969.69
2009-01-07, 1228.17, 2.8689999999999998, 2.8689999999999998, 2.8689999999999998, 1.351, 1.3659, 1.3312, 262.71, 271.91, 4638.9, 4579.6, 4675.7, 11.9825, 11.666, 194.84, 6.0829999999999975, 6.24, 5.865, 41520.07, 41520.07, 1.642, 1.642, 1.642, 5026.31, 4992.67, 5111.02, 4960.21, 635.9814285714286, 623.4785714285714, 633.0228571428571, 623.0457142857142, 638.5142857142857, 3.264, 3.264, 3.264, 3112.8, 3121.5, 3141.8, 934.7, 931.17, 927.28, 1.5659999999999998, 1.484, 1.565, 1.484, 1937.14, 1938.69, 1871.97, 1772.58, 1814.42, 1739.36, 1652.38, 1642.37, 1665.63, 1636.25, 169.225, 168.84, 166.35, 3.628, 2.45, 2.45, 1175.73, 1178.11, 1200.38, 1158.28, 1.1848, 1.2001, 1.1761, 3.155, 3.155, 3.155, 43071.0, 42740.0, 26.6398, 27.615, 26.5566, 50.47, 47.6, 23238.86, 23489.77, 9130.01, 9029.94, 4.26, 5799.31, 5778.76, 5881.47, 5731.32, 9015.1, 8954.57, 8868.07, 116.1, 693.77, 704.36, 938.68, 953.62, 0.9271, 0.9304, 0.9015, 52.21, 1967.18, 1.0632, 1.069, 1.0397, 514.71, 507.16, 604.75, 576.11, 867.6, 9724.0, 9800.0, 9617.8, 1.4928, 1.4684, 1.4995, 1.4505, 20327.0, 20996.0, 1438.42, 1462.63, 3.99, 3.99, 3.99, 0.5995, 0.5995, 0.5815, 1549.47, 1568.31, 1539.68, 1.265, 1.265, 1.22, 1108.95, 1120.68, 1082.15, 1312.0, 702.9, 683.03, 9505.72, 13.9962, 14.003, 14.2796, 5291.28, 5175.67, 483.0, 488.12, 470.82, 1.6263, 1.57, 4.461, 4.461, 93.25, 92.96, 11.42, 643.5, 615.0, 645.0, 611.5, 4.293, 2007.54, 1978.99
2009-01-08, 1205.7, 2.931, 2.931, 2.931, 1.3634, 1.3748, 1.3430000000000002, 268.24, 269.52, 4507.5, 4638.9, 4638.9, 12.0255, 11.645, 189.91, 5.985, 6.07, 5.784, 42308.27, 40563.43, 1.661, 1.661, 1.661, 4937.47, 5008.62, 5010.97, 4914.22, 633.6985714285714, 622.8314285714285, 638.0871428571429, 626.1342857142857, 644.2657142857142, 3.2910000000000004, 3.2910000000000004, 3.2910000000000004, 2920.4, 3112.8, 3147.2, 906.65, 927.45, 902.37, 1.494, 1.5419999999999998, 1.545, 1.4869999999999999, 1924.01, 1948.23, 1920.52, 1762.4, 1777.4, 1723.51, 1599.06, 1621.63, 1625.37, 1588.2, 166.755, 168.55, 165.33, 3.6660000000000004, 2.498, 2.498, 1173.37, 1171.99, 1189.65, 1145.06, 1.1961, 1.2001, 1.1774, 3.207, 3.207, 3.207, 41448.0, 42300.0, 26.6233, 26.9571, 26.4112, 49.09, 42.41, 22992.71, 22992.71, 9133.8, 9106.05, 4.31, 5761.69, 5778.02, 5806.0, 5731.7, 8769.7, 8996.94, 8690.45, 114.2, 693.76, 704.49, 944.96, 945.96, 0.9062, 0.9175, 0.8957, 51.4, 1975.69, 1.0476, 1.0674, 1.044, 497.1, 492.36, 568.85, 601.42, 867.0, 9570.0, 9726.2, 9503.8, 1.5113, 1.4932, 1.5283, 1.4806, 20729.0, 20858.0, 1440.25, 1472.46, 4.004, 4.004, 4.004, 0.5889, 0.6038, 0.5885, 1550.07, 1556.57, 1545.29, 1.26, 1.27, 1.24, 1079.9, 1105.75, 1076.47, 1292.7, 694.58, 690.94, 9472.09, 13.957, 13.9518, 14.028, 5344.31, 5248.82, 478.8, 479.3, 462.96, 1.5431, 1.6478, 4.448, 4.448, 93.4, 92.34, 11.08, 613.25, 641.5, 646.25, 609.5, 4.25, 1991.29, 1974.82
2009-01-09, 1180.96, 2.8789999999999996, 2.8789999999999996, 2.8789999999999996, 1.3727, 1.38, 1.3533, 261.04, 266.1, 4505.4, 4507.5, 4514.7, 12.1465, 11.856, 195.74, 5.849, 6.004, 5.55, 40819.37, 40250.57, 1.558, 1.558, 1.558, 4879.91, 4897.16, 4917.62, 4820.08, 631.4157142857142, 622.1842857142857, 643.1514285714286, 629.2228571428573, 650.0171428571429, 3.218, 3.218, 3.218, 2896.7, 3016.375, 3038.525, 909.73, 905.73, 896.81, 1.463, 1.48, 1.494, 1.44, 1878.18, 1894.17, 1862.26, 1825.36, 1840.91, 1757.92, 1617.01, 1590.25, 1617.01, 1584.28, 171.48, 166.69, 166.67, 3.575, 2.445, 2.445, 1216.72, 1174.82, 1228.16, 1169.5, 1.1793, 1.2075, 1.177, 3.1239999999999997, 3.1239999999999997, 3.1239999999999997, 42461.0, 41600.0, 26.5796, 27.5628, 26.5796, 43.63, 40.54, 22116.8, 22116.8, 9143.21, 8876.42, 4.2, 5751.07, 5697.53, 5764.42, 5679.12, 8742.46, 8769.94, 8593.52, 113.45, 701.41, 701.41, 923.09, 949.51, 0.9026, 0.9071, 0.8886, 47.36, 2051.02, 1.0527, 1.0536, 1.0313, 502.01, 492.52, 579.39, 568.54, 861.0, 9469.5, 9576.1, 9357.7, 1.5246, 1.5136, 1.5375, 1.4984, 20371.0, 20671.0, 1401.09, 1410.93, 3.938, 3.938, 3.938, 0.5946, 0.5972, 0.5818, 1542.4, 1559.52, 1536.5, 1.31, 1.315, 1.26, 1129.89, 1129.89, 1079.16, 1330.0, 677.14, 674.19, 9224.07, 14.6042, 13.9497, 14.6856, 5291.096666666667, 5196.32, 457.11, 465.49, 455.44, 1.5196, 1.55, 4.375, 4.375, 92.76, 90.86, 11.072000000000001, 612.5, 610.25, 620.75, 598.0, 4.14, 1975.29, 1950.39
2009-01-12, 1156.75, 2.81, 2.81, 2.81, 1.344, 1.3752, 1.3415, 265.26, 269.74, 4448.5, 4505.4, 4534.8, 12.3155, 11.91, 197.57, 5.607, 5.625, 5.422999999999999, 41991.77, 41181.49, 1.508, 1.508, 1.508, 4783.89, 4891.58, 4932.66, 4743.97, 629.1328571428571, 621.5371428571427, 648.2157142857143, 632.3114285714286, 655.7685714285714, 3.133, 3.133, 3.133, 2873.0, 2919.95, 2929.85, 890.35, 909.91, 888.31, 1.546, 1.46, 1.545, 1.46, 1904.86, 1909.35, 1875.16, 1811.58, 1849.96, 1800.62, 1571.59, 1617.05, 1617.26, 1569.87, 173.85, 171.25, 169.53, 3.47, 2.3930000000000002, 2.3930000000000002, 1210.88, 1214.9, 1235.78, 1201.04, 1.1886, 1.197, 1.1793, 3.0189999999999997, 3.0189999999999997, 3.0189999999999997, 42173.0, 42310.0, 27.2297, 28.0944, 26.9312, 42.7, 39.38, 21962.12, 22040.2, 8932.71, 8773.2, 4.32, 5697.24, 5753.55, 5753.66, 5648.01, 8599.18, 8738.8, 8541.75, 116.9, 695.95, 695.95, 945.32, 956.88, 0.9, 0.9049, 0.8835, 45.67, 2065.05, 1.0438, 1.0549, 1.0363, 481.3, 480.96, 598.83, 578.51, 862.1, 9378.5, 9529.0, 9309.5, 1.5171, 1.5227, 1.5351, 1.5118, 20700.0, 20700.0, 1400.7, 1416.67, 3.863, 3.863, 3.863, 0.5952, 0.5952, 0.5892, 1532.25, 1545.11, 1524.86, 1.305, 1.325, 1.29, 1132.48, 1138.84, 1112.62, 1348.5, 680.51, 676.52, 9267.51, 14.9286, 14.5673, 14.9822, 5237.883333333333, 5143.82, 463.75, 467.32, 458.9, 1.4877, 1.5372, 4.328, 4.328, 91.41, 90.17, 11.295, 629.5, 613.75, 632.0, 612.5, 4.12, 1979.56, 1959.68
2009-01-13, 1167.71, 2.758, 2.758, 2.758, 1.3371, 1.3476, 1.3287, 264.95, 266.8, 4426.2, 4448.5, 4471.3, 12.245, 12.099, 200.68, 5.5470000000000015, 5.6339999999999995, 5.37, 41584.89, 39345.4, 1.486, 1.486, 1.486, 4719.62, 4765.38, 4791.96, 4708.5, 626.85, 620.89, 653.28, 635.4, 661.52, 3.136, 3.136, 3.136, 2773.1, 2868.85, 2869.2, 870.26, 890.4, 864.32, 1.475, 1.565, 1.565, 1.453, 1900.35, 1924.44, 1886.83, 1811.38, 1837.95, 1785.4, 1538.79, 1573.45, 1573.46, 1528.0, 174.675, 173.43, 171.55, 3.455, 2.309, 2.309, 1215.12, 1208.79, 1227.62, 1193.85, 1.2166, 1.2178, 1.1873, 2.985, 2.985, 2.985, 39974.0, 41640.0, 27.8734, 28.5191, 27.5321, 40.8, 37.48, 21741.29, 21744.48, 8832.669999999998, 8589.35, 4.37, 5591.79, 5657.1, 5666.82, 5588.18, 8473.97, 8599.26, 8391.85, 114.5, 685.83, 685.83, 940.37, 956.91, 0.8894, 0.9033, 0.8859999999999999, 44.7, 2070.78, 1.013, 1.0413, 1.0102, 468.8, 466.75, 584.93, 597.2, 844.4, 9199.9, 9350.6, 9179.2, 1.483, 1.5138, 1.5149, 1.4814, 19992.0, 20204.0, 1406.78, 1411.23, 3.9189999999999996, 3.9189999999999996, 3.9189999999999996, 0.5722, 0.5893, 0.5719, 1533.79, 1555.06, 1529.0, 1.275, 1.295, 1.2625000000000002, 1114.49, 1151.15, 1107.74, 1354.55, 683.88, 678.85, 9085.18, 15.1958, 14.9185, 15.2401, 5184.67, 5091.32, 459.52, 460.82, 451.1, 1.4724, 1.4880000000000002, 4.371, 4.371, 90.16, 88.91, 10.725, 569.75, 629.75, 637.5, 569.5, 4.113, 1973.5, 1966.01
2009-01-14, 1182.68, 2.7239999999999998, 2.7239999999999998, 2.7239999999999998, 1.3196, 1.3375, 1.3142, 259.89, 262.06, 4399.1, 4426.2, 4426.2, 12.171, 11.962, 202.4, 5.51, 5.567, 5.1579999999999995, 39397.15, 38623.25, 1.496, 1.496, 1.496, 4636.94, 4704.51, 4704.51, 4596.49, 628.2, 610.77, 655.16, 653.28, 662.38, 3.2030000000000003, 3.2030000000000003, 3.2030000000000003, 2744.95, 2775.0, 2802.6, 871.79, 869.79, 862.02, 1.5319999999999998, 1.415, 1.53, 1.415, 1863.37, 1888.31, 1861.81, 1786.74, 1848.74, 1777.84, 1546.46, 1537.42, 1557.95, 1527.47, 174.55, 173.97, 172.89, 3.488, 2.2969999999999997, 2.2969999999999997, 1210.77, 1211.39, 1241.04, 1198.41, 1.2246, 1.234, 1.2153, 2.998, 2.998, 2.998, 40267.0, 39600.0, 28.1904, 28.4718, 27.4493, 39.5, 36.1, 21161.7, 21285.59, 8732.63, 8405.5, 4.4, 5534.33, 5568.36, 5568.36, 5452.02, 8448.56, 8474.61, 8325.59, 114.75, 667.97, 667.97, 919.34, 939.85, 0.9025, 0.9129, 0.8982, 45.59, 2050.97, 0.9881, 1.0163, 0.9777, 473.79, 466.05, 583.62, 582.22, 825.6, 9057.3, 9111.6, 8920.2, 1.4503, 1.4811, 1.4829, 1.4469999999999998, 19819.0, 19911.0, 1395.45, 1412.68, 3.9810000000000003, 3.9810000000000003, 3.9810000000000003, 0.5529999999999999, 0.5726, 0.5464, 1576.25, 1588.93, 1532.4, 1.245, 1.265, 1.235, 1105.66, 1137.68, 1096.26, 1354.0, 681.37, 673.5, 8986.15, 15.1888, 15.1199, 15.472, 5152.54, 5027.18, 448.3, 451.18, 433.81, 1.5141, 1.48, 4.394, 4.394, 89.49, 88.82, 10.655, 570.75, 567.0, 590.0, 561.0, 3.955, 1973.31, 1951.09
2009-01-15, 1111.34, 2.5540000000000003, 2.5540000000000003, 2.5540000000000003, 1.3162, 1.3336, 1.3092, 262.49, 263.01, 4180.6, 4399.1, 4426.5, 12.1985, 11.928, 198.35, 5.218999999999999, 5.235, 4.94, 39537.37, 37658.34, 1.442, 1.442, 1.442, 4422.35, 4661.84, 4670.84, 4379.88, 621.0, 591.34, 610.36, 655.16, 671.61, 3.1289999999999996, 3.1289999999999996, 3.1289999999999996, 2835.3, 2748.4, 2853.25, 842.62, 867.28, 836.93, 1.473, 1.4669999999999999, 1.4669999999999999, 1.44, 1928.87, 1929.28, 1862.31, 1782.88, 1798.55, 1759.16, 1489.64, 1521.71, 1528.65, 1485.26, 174.535, 174.41, 171.81, 3.4330000000000003, 2.206, 2.206, 1211.63, 1209.33, 1214.78, 1191.47, 1.248, 1.2494, 1.2103, 2.937, 2.937, 2.937, 38730.0, 39950.0, 27.7482, 27.9693, 27.3921, 39.45, 35.52, 21047.3, 21047.3, 8425.75, 8359.16, 4.27, 5378.81, 5584.02, 5586.24, 5329.37, 8200.14, 8446.01, 8097.95, 114.65, 656.62, 662.14, 899.2, 918.71, 0.9094, 0.9129, 0.8974, 46.0, 1983.62, 0.9843, 1.0124, 0.981, 453.17, 452.69, 572.27, 584.6, 827.1, 8692.7, 9138.3, 8594.2, 1.4575, 1.4497, 1.471, 1.4486, 19652.0, 19652.0, 1406.51, 1416.06, 3.948, 3.948, 3.948, 0.5434, 0.5598, 0.5392, 1602.56, 1616.6950000000006, 1554.325, 1.27, 1.27, 1.245, 1084.76, 1114.15, 1082.83, 1354.0, 660.26, 660.26, 8961.55, 15.1956, 15.1292, 15.2812, 5079.7, 4929.27, 440.3, 442.65, 431.2, 1.4631, 1.5268, 4.407, 4.407, 89.39, 88.62, 10.452, 574.25, 574.75, 581.25, 560.5, 3.99, 1981.72, 1880.3
