@relation KOSPI
@attribute Date date yyyy-MM-dd
@attribute KOSPI_Now numeric
@attribute CANADA_10_YEAR_Now numeric
@attribute CANADA_10_YEAR_Open numeric
@attribute EUR_USD_Open numeric
@attribute EUR_USD_High numeric
@attribute EUR_USD_Low numeric
@attribute AEX_Now numeric
@attribute AEX_Open numeric
@attribute AEX_High numeric
@attribute FTSE_Now_x numeric
@attribute FTSE_High_x numeric
@attribute FTSE_Low_x numeric
@attribute IDR_KRW_Low numeric
@attribute CNY_KRW_Now numeric
@attribute CNY_KRW_Open numeric
@attribute CNY_KRW_High numeric
@attribute GAS_Now numeric
@attribute GAS_High numeric
@attribute GAS_Low numeric
@attribute Brazil_Now numeric
@attribute Brazil_Low numeric
@attribute DAX_Now numeric
@attribute DAX_Open numeric
@attribute RTSI_Now numeric
@attribute MOEX_Now numeric
@attribute MOEX_Open numeric
@attribute UK_10_YEAR_Open numeric
@attribute Nifty_Low numeric
@attribute S&P_Now numeric
@attribute Copper_Open numeric
@attribute Copper_High numeric
@attribute SANGHAI_Open numeric
@attribute SANGHAI_High numeric
@attribute SANGHAI_Low numeric
@attribute EUR_KRW_Now numeric
@attribute EUR_KRW_Low numeric
@attribute NASDAQ_Open numeric
@attribute NASDAQ_High numeric
@attribute NASDAQ_Low numeric
@attribute HKD_KRW_Now numeric
@attribute HKD_KRW_High numeric
@attribute HKD_KRW_Low numeric
@attribute FRANCE_10_YEAR_Open numeric
@attribute FRANCE_10_YEAR_Low numeric
@attribute US_10_YEAR_Now numeric
@attribute US_10_YEAR_Open numeric
@attribute US_10_YEAR_Low numeric
@attribute CHF_KRW_Now numeric
@attribute USD_CAD_Now numeric
@attribute USD_CAD_Open numeric
@attribute USD_CAD_Low numeric
@attribute GERMANY_10_YEAR_Open numeric
@attribute GERMANY_10_YEAR_High numeric
@attribute GERMANY_10_YEAR_Low numeric
@attribute iBovespa_Now numeric
@attribute iBovespa_Low numeric
@attribute INR_KRW_Now numeric
@attribute INR_KRW_Open numeric
@attribute WTI_Now numeric
@attribute WTI_High numeric
@attribute S&P_BMV_Low numeric
@attribute SOUTH_KOREA_10_YEAR_Open numeric
@attribute SOUTH_KOREA_10_YEAR_High numeric
@attribute SOUTH_KOREA_10_YEAR_Low numeric
@attribute SMI_Now numeric
@attribute SMI_Open numeric
@attribute DOWJONES_Now numeric
@attribute DOWJONES_Open numeric
@attribute DOWJONES_Low numeric
@attribute US_COFFEE_Now numeric
@attribute US_COFFEE_Open numeric
@attribute US_COFFEE_High numeric
@attribute US_COFFEE_Low numeric
@attribute OMXS_Now numeric
@attribute OMXS_Open numeric
@attribute AUD_KRW_Now numeric
@attribute AUD_KRW_High numeric
@attribute EUR_GBP_Now numeric
@attribute BRENT_OIL_Now numeric
@attribute BRENT_OIL_High numeric
@attribute GBP_KRW_Now numeric
@attribute GBP_KRW_Open numeric
@attribute GBP_KRW_High numeric
@attribute AUD_SGD_High numeric
@attribute Russell_Now numeric
@attribute Russell_Low numeric
@attribute BRL_KRW_Now numeric
@attribute BRL_KRW_Open numeric
@attribute BRL_KRW_Low numeric
@attribute IBEX_High numeric
@attribute IBEX_Low numeric
@attribute GBP_USD_Open numeric
@attribute GBP_USD_High numeric
@attribute GBP_USD_Low numeric
@attribute Corn_Open numeric
@attribute FTSE_Now_y numeric
@attribute FTSE_Low_y numeric
@attribute IDX_Now numeric
@attribute IDX_Low numeric
@attribute SPAIN_10_YEAR_Open numeric
@attribute SPAIN_10_YEAR_High numeric
@attribute NZD_USD_Low numeric
@attribute CSE_Now numeric
@attribute CSE_High numeric
@attribute JAPAN_10_YEAR_Now numeric
@attribute JAPAN_10_YEAR_Open numeric
@attribute CAD_KRW_Low numeric
@attribute USD_KRW_High numeric
@attribute USD_KRW_Low numeric
@attribute TA_Now numeric
@attribute TA_Open numeric
@attribute TA_High numeric
@attribute S&P_TSX_Now numeric
@attribute S&P_TSX_Low numeric
@attribute JPY_KRW_Open numeric
@attribute JPY_KRW_High numeric
@attribute JPY_KRW_Low numeric
@attribute Tadawul_Low numeric
@attribute SET_Open numeric
@attribute SET_Low numeric
@attribute HEATING_OIL_Low numeric
@attribute ITALY_10_YEAR_Open numeric
@attribute ITALY_10_YEAR_Low numeric
@attribute USD_JPY_Now numeric
@attribute USD_JPY_Low numeric
@attribute Silver_Now numeric
@attribute Silver_Open numeric
@attribute US_WHEAT_Open numeric
@attribute US_WHEAT_High numeric
@attribute US_WHEAT_Low numeric
@attribute AUS_10_YEAR_Now numeric
@attribute BEL_Open numeric
@attribute BEL_High numeric

@data
2007-1-11, 9.52, 0.001, 0.001, -0.0021, -0.0046, -0.0054, -3.38, -1.14, -3.77, -35.4, -22.4, -48.4, -0.021, -0.11, 0.31, 0.31, 0.124, 0.077, 0.3, 328.89, -171.75, -47.81, -46.52, -27.96, -2.1, -120.21, 0.01, -49.05, 2.74, 0.032, 0.117, 127.06, 32.35, 79.63, -6.88, -6.19, -9.22, 11.47, 4.34, -0.115, 0.315, 0.29, 0.028, 0.028, 0.028, 0.028, 0.028, -3.96, -0.0008, 0.0013, 0.0023, 0.042, 0.042, 0.042, 268.0, -280.0, -0.0698, -0.0652, -1.62, -0.39, -227.6, 0.01, 0.01, 0.01, -12.4, -47.01, 25.56, -7.77, -24.84, 2.35, -1.3, 1.4, 0.1, -10.04, -1.39, -4.44, -0.69, -0.0007, -1.49, -0.32, -8.62, 2.85, -1.96, -0.0024, 0.54, 4.45, -0.25, -0.17, -0.17, -178.1, -222.5, 0.0017, -0.0033, -0.0056, -8.0, -206.0, -293.0, -70.51, -66.95, 0.01, 0.01, -0.0029, 16.3, 14.76, 0.023, 0.025, -0.58, 2.55, 2.35, -13.37, -20.41, -21.03, -10.44, -0.21, -0.0305, -0.0147, -0.0213, -143.3, -23.32, -7.52, -0.0038, 0.028, 0.028, 0.25, 0.46, -0.14800000000000002, 0.15, -8.0, -6.5, -4.5, 0.005, -12.7, -33.11
2007-1-12, 23.06, 0.018000000000000002, 0.018000000000000002, -0.0065, 0.0008, -0.005, 7.67, 1.6, 6.12, 69.4, 37.0, -11.8, -0.047, 0.34, 0.02, -0.06, -0.463, -0.114, -0.34, 334.65, 673.82, 120.74, 11.98, 29.94, 29.84, -2.29, 0.008, -8.1, 8.97, 0.138, 0.017, -18.74, -0.56, -7.1, -2.34, -3.27, 30.85, 28.12, 35.49, 0.14, -0.17, 0.02, 0.011, 0.011, 0.049, 0.049, 0.049, -0.33, 0.0009, -0.0018, -0.006, 0.003, 0.003, 0.003, 399.0, 710.0, -0.0406, -0.0417, -2.14, -1.08, 450.82, 0.0, 0.0, 0.0, 126.31, 59.94, 72.82, 25.96, 100.71, -0.1, 2.15, 0.35, 1.7, 26.99, -10.04, 4.85, 1.37, -0.0067, -1.99, -0.89, 15.45, -8.02, 10.57, 0.009000000000000001, 9.58, 6.36, 0.82, 0.67, 0.67, 89.4, 39.5, -0.0069, 0.0116, 0.0001, 8.0, 582.0, 126.0, -6.53, -4.81, 0.01, 0.01, 0.0005, 34.86, 31.67, -0.023, -0.025, 0.46, -1.3, 0.2, 4.38, 0.84, 1.66, 62.35, 40.58, -0.0271, -0.0247, -0.0471, -172.4666667, 15.82, 17.51, -0.0382, 0.013, 0.013, 0.8, 0.36, 0.025, 0.025, -2.5, 7.0, 3.0, 0.005, 2.62, 65.31
2007-1-15, 2.59, 0.037000000000000005, 0.037000000000000005, -0.0046, -0.006999999999999999, -0.0015, 2.68, 3.94, 2.99, 8.9, 14.5, 74.1, -0.039, 0.09, 0.45, 0.38, 0.309, -0.053, -0.04, 424.65, 585.47, 17.87, 99.69, -3.02, -8.2, 29.93, 0.044, 110.95, 6.91, -0.056, -0.05, -74.05, -59.15, -111.31, 3.67, -0.04, 16.83, 13.36, 18.15, 0.135, 0.275, 0.1, 0.006999999999999999, 0.006999999999999999, 0.044, 0.044, 0.044, 1.58, -0.0072, 0.0032, -0.0009, 0.01, 0.01, 0.01, 486.0, 690.0, 0.1128, 0.1081, 1.11, -1.62, 240.21, 0.07, 0.07, 0.07, 44.9, 72.55, 41.1, 71.7, 18.58, -0.35, -0.75, -1.25, -0.3, -0.58, 26.99, 3.11, 0.5, -0.0033, 1.25, -1.31, 14.17, 13.38, 8.45, -0.0002, 5.81, 8.37, 2.15, 2.15, 2.15, 44.9, 187.6, 0.0124, 0.006999999999999999, 0.0108, 15.0, 169.0, 521.0, -25.8, -71.08, 0.036000000000000004, 0.036000000000000004, 0.0017, 43.86, 44.56, 0.004, 0.02, 1.23, 2.3, 1.3, 10.125, 8.145, 10.23, 158.91, 66.77, -0.0465, -0.0342, 0.002, -172.4666667, 21.49, 16.26, 0.002, 0.003, 0.003, -0.18, 0.66, 0.423, 0.423, 8.25, 22.0, 6.75, 0.025, 52.04, 18.86
2007-1-16, -1.25, 0.029, 0.029, 0.0036, 0.0013, 0.0048, 2.54, 5.44, 2.8, 24.5, 32.1, 34.7, 0.012, -0.14, -0.3, -0.41, 0.0185, 0.08, 0.128, -175.8, 349.33, 26.57, 29.1, 52.62, 59.36, -7.9, 0.046, 107.85, 0.585, -0.0195, -0.0225, -85.25, 13.3, 6.3, -0.5, 1.07, 11.42, 3.055, 6.19, -0.185, -0.355, -0.26, 0.038, 0.038, -0.13699999999999998, -0.13699999999999998, -0.13699999999999998, -1.73, -0.0026, -0.0084, -0.0024, 0.034, 0.034, 0.034, -252.0, 450.0, 0.0752, 0.0776, -0.89, 0.22, 221.66, 0.0, 0.0, 0.0, 68.84, 84.3, 13.255, 20.59, 28.8, 0.675, 0.55, 0.85, 0.3, 14.41, -0.58, -0.6, 0.98, -0.0009, 0.17, 0.51, 2.32, 16.15, 2.58, 0.0026, -1.39, 0.88, -1.04, -0.86, -0.86, 82.0, 119.1, 0.0147, 0.0062, 0.0144, 19.75, 196.0, 230.0, 52.43, 66.4, -0.008, -0.008, 0.003, 32.205, 32.495, 0.0, -0.013, 3.87, -3.45, -2.45, 10.125, 8.145, 10.23, 76.55, 158.91, 0.0171, -0.0142, -0.0038, -172.4666667, 1.52, 6.28, -0.008, 0.037000000000000005, 0.037000000000000005, 0.16, -0.1, -0.129, -0.129, 10.625, -1.0, 2.875, 0.015, 32.38, 1.7
2007-1-17, -10.23, 0.0, 0.0, 0.0014, 0.0033, -0.0005, -0.57, 1.06, 0.61, -47.8, -13.3, -32.6, 0.0, -0.33, -0.23, -0.16, 0.0185, 0.08, 0.128, -294.95, -459.35, -14.92, 16.3, 1.42, -9.52, 59.16, 0.003, 15.5, 0.585, -0.0195, -0.0225, 158.59, 35.47, 98.32, -5.35, -2.63, 11.42, 3.055, 6.19, -0.43, -0.19, -0.17, -0.006999999999999999, -0.006999999999999999, 0.107, 0.107, 0.107, -2.09, 0.0098, -0.0019, -0.0011, -0.005, -0.005, -0.005, -239.0, -650.0, -0.0303, -0.0269, -0.89, 0.22, 20.54, -0.01, -0.01, -0.01, -28.65, 40.58, 13.255, 20.59, 28.8, 0.675, 0.55, 0.85, 0.3, -3.24, 14.41, -3.25, -1.79, 0.0001, -0.86, 0.01, -8.78, 1.76, -1.78, -0.0034, -1.39, 0.88, -0.71, -0.74, -0.74, 26.9, -97.3, 0.0048, 0.0035, 0.002, 19.75, -192.0, -21.0, 23.82, 43.02, -0.015, -0.015, 0.0029, 32.205, 32.495, 0.0, 0.018000000000000002, -6.16, -1.25, -1.25, -0.92, 6.35, 2.43, -35.04, 0.78, -0.0161, -0.0238, -0.0337, 54.67, 9.19, 4.56, -0.008, -0.009000000000000001, -0.009000000000000001, 0.19, 0.16, -0.129, -0.129, 10.625, -1.0, 2.875, 0.015, -13.3, 0.67
2007-1-18, 3.73, -0.002, -0.002, -0.0022, -0.004, -0.0013, 0.45, -0.06, -0.67, -11.2, -39.4, -42.9, 0.029, 0.41, -0.14, 0.17, -0.404, -0.065, -0.256, 111.26, -163.46, -15.12, -19.16, -41.0, -30.55, -9.53, -0.012, 3.65, -1.28, -0.035, -0.032, 9.74, 39.62, -14.61, 3.38, 0.19, -16.67, -12.0, -18.09, 0.13, -0.12, -0.01, -0.016, -0.016, 0.032, 0.032, 0.032, 1.5, -0.0037, 0.0088, 0.0074, -0.016, -0.016, -0.016, 50.0, -150.0, -0.0187, -0.0176, 1.03, -1.15, 48.38, 0.02, 0.02, 0.02, 31.6, -23.52, -5.44, 7.69, 61.05, -0.05, -0.1, -0.45, -0.8, 5.27, -3.24, 4.43, 1.59, -0.0019, 0.52, -0.6, 10.83, -8.69, 3.85, 0.0022, -2.71, -1.09, 1.61, 1.58, 1.58, -74.4, -81.6, -0.0031, 0.0019, 0.0012, -13.75, -366.0, -485.0, 4.19, 16.09, -0.014, -0.014, -0.0054, 2.37, 16.65, -0.051, -0.032, 0.27, -0.15, 0.75, 0.73, -10.86, 1.61, 10.09, -28.22, -0.037000000000000005, -0.006999999999999999, -0.0064, 0.0, -2.96, -2.12, -0.0063, -0.026, -0.026, 0.0, 0.12, 0.273, 0.273, -16.25, -4.5, -0.5, -0.025, -17.03, -18.14
2007-1-19, -22.65, 0.025, 0.025, 0.0025, 0.0026, 0.0, 0.27, 0.83, 2.59, 5.8, 30.2, 41.0, 0.0, 0.05, 0.3, 0.08, 0.09, -0.355, -0.05, -257.56, 154.63, -12.08, 4.42, -3.35, -3.22, -30.54, 0.008, 3.65, -4.25, -0.05, -0.033, -67.46, -86.38, -62.89, 1.7, 0.2, -12.56, -21.13, -37.72, -0.13, -0.06, -0.04, 0.015, 0.015, -0.036000000000000004, -0.036000000000000004, -0.036000000000000004, -0.16, 0.0001, -0.0036, -0.0009, 0.0, 0.0, 0.0, -258.0, 470.0, 0.0017, -0.0017, -1.76, 0.29, -269.14, 0.01, 0.01, 0.01, -5.25, 36.4, -9.22, 11.53, -63.05, -1.85, 0.6, -0.15, 0.3, -2.31, 5.27, 1.67, 2.12, -0.0006, -1.03, 0.32, 3.5, 10.59, 4.79, 0.0031, -10.56, -11.67, -0.82, -0.81, -0.81, -24.7, -12.0, 0.0086, 0.0055, 0.0034, 8.75, -38.0, 42.0, 19.23, 11.65, 0.019, 0.019, 0.0035, 24.29, 13.58, 0.019, -0.031, 0.8, -0.3, -0.3, -0.19, 11.12, -1.56, -89.73, -21.71, 0.0106, -0.0127, -0.0368, 22.42333333, -1.15, -0.4, -0.0047, -0.004, -0.004, 0.64, 0.14, -0.205, -0.205, 13.25, 5.0, 4.25, 0.0, 6.27, 6.65
2007-1-22, 2.85, -0.028, -0.028, 0.0018, 0.0024, 0.0017, 1.59, -2.21, -1.45, 26.9, -13.9, -26.5, 0.002, -0.14, 0.39, 0.42, 0.562, 0.6, 0.175, 949.72, 70.3, 57.55, -42.28, 5.65, 9.55, -3.22, -0.005, -16.85, 4.13, -0.024, 0.0, 0.95, 49.41, 82.19, 0.32, 0.85, -37.7, -22.01, -2.43, 0.01, 0.26, -0.07, -0.008, -0.008, 0.034, 0.034, 0.034, -0.36, -0.0012, 0.0013, -0.0014, 0.003, 0.003, 0.003, 774.0, -430.0, -0.0045, -0.0045, 1.51, -0.64, -173.36, 0.0, 0.0, 0.0, 55.77, -39.64, -2.4, -7.13, -25.4, -0.05, -1.85, -1.1, -0.35, 6.98, -2.31, 1.17, 2.55, 0.0007, 1.69, 0.2, -0.31, 3.45, 3.56, 0.0006, 6.95, -1.7, 1.3, 1.2, 1.2, 14.8, -39.0, 0.0042, -0.0008, 0.0061, 1.0, 412.0, -32.0, 17.85, 3.74, 0.009000000000000001, 0.009000000000000001, 0.0014, 9.48, 26.86, 0.0, 0.008, 1.07, 2.9, -0.2, 2.42, 0.495, 1.46, 78.31, 7.87, -0.0401, -0.0206, 0.0023, 22.42333333, 1.67, 3.73, 0.013, 0.013, 0.013, -0.01, 0.62, 0.237, 0.092, -6.0, -12.0, -2.25, -0.015, -24.43, -9.15
2007-1-23, -0.32, 0.004, 0.004, 0.0001, -0.002, 0.0008, -3.61, 3.9, 1.81, -18.8, 27.6, 37.8, 0.022, 0.52, -0.44, -0.01, 0.433, 0.39, 0.595, 125.66, 705.62, -59.86, 74.92, 29.04, 37.56, 9.55, 0.018000000000000002, 11.6, -7.55, 0.05, 0.006, 96.01, 101.2, 96.01, 3.66, 3.75, 16.87, 0.87, -12.76, 0.595, 0.185, 0.09, 0.014, 0.014, -0.022, -0.022, -0.022, 2.14, 0.0104, -0.0015, 0.0016, 0.006, 0.006, 0.006, 147.0, 820.0, 0.0124, 0.0124, -0.86, 1.39, 102.62, 0.0, 0.0, 0.0, -52.97, 77.29, -88.37, -1.6, -72.82, -2.35, -0.15, -0.9, -2.45, 0.78, 6.98, 1.07, 0.95, -0.0016, -0.74, 1.05, 9.29, -0.89, 3.93, 0.0012, -7.2, 0.66, 0.14, -0.07, -0.07, 102.1, 169.7, -0.0001, 0.0016, 0.002, -7.5, -121.0, 368.0, 21.85, 32.69, -0.028, -0.028, 0.0008, 10.47, -7.41, -0.052000000000000005, -0.052000000000000005, -2.52, 0.7, 0.6, 2.42, 0.495, 1.46, -13.22, 58.65, -0.0052, -0.0006, 0.008, 22.42333333, 4.68, 0.05, 0.029, -0.009000000000000001, -0.009000000000000001, 0.31, 0.11, 0.08, 0.165, -5.0, -2.5, -1.0, 0.01, 23.16, 11.65
2007-1-24, 19.97, -0.004, -0.004, -0.0014, 0.0064, 0.0007, -0.69, -4.56, -4.73, 9.2, -30.2, -26.6, 0.019, -0.02, 0.46, 0.19, 0.278, 0.287, 0.39, 623.9, 249.9, -8.38, -60.9, 14.43, 9.53, 37.55, -0.023, -13.5, 5.04, 0.034, 0.069, 106.79, 36.03, -5.98, 7.11, 3.52, -26.24, -7.63, 3.06, 0.02, 0.25, 0.57, -0.032, -0.032, 0.049, 0.049, 0.049, 4.07, -0.0018, 0.0098, 0.0073, -0.039, -0.039, -0.039, 623.0, 90.0, 0.0717, 0.0717, 3.91, 1.71, 377.16, 0.0, 0.0, 0.0, 3.35, -50.03, 56.64, -98.37, 78.28, -1.7, -2.2, -2.35, -1.45, -6.22, 0.78, 4.33, 3.24, 0.0023, 2.4, 0.58, 4.94, 9.58, 12.48, 0.0018, 7.42, 0.99, 1.28, 1.46, 1.46, -106.2, -47.0, 0.002, 0.0129, 0.0035, -0.25, 104.0, -102.0, -8.83, -12.05, 0.015, 0.015, 0.0039, -15.38, 4.89, 0.01, 0.005, -0.75, 1.15, 3.55, 1.84, 0.15, 0.8, 205.1, 9.59, 0.0099, 0.0117, 0.0084, -49.42, -8.68, -6.66, 0.0075, -0.049, -0.049, 0.08, -0.11, 0.26, 0.32, 0.0, 10.5, 2.0, 0.035, -16.15, -31.73
